model,seed,episode,source,tensor,shape,n,mean,std,kurt,sigma_max,xavier_sigma,vs_xavier,eff_rank,rank_frac,tail,eff_sig,frac_tiny,min,p1,p5,p25,median,p75,p95,p99,max
cost_lipschitz,7,500,episode_500.pt,actor.0.weight,128x128,16384,-0.0008840898618313331,0.08806127806428377,1.8073655895756044,1.9059730938225352,2.0,0.9529865469112676,56.82088826822789,0.4439131895955304,0.0006863524445436761,nan,0.0006103515625,-0.15997400879859924,-0.15001573160290718,-0.13773598223924635,-0.07648896984755993,-0.0032951865578070283,0.07647661678493023,0.13726248368620872,0.15009364292025565,0.15929032862186432
cost_lipschitz,7,500,episode_500.pt,actor.2.weight,2x128,256,-4.3639796245997786e-05,0.0028572950951581693,3.214376944075316,0.03287572810907148,1.5787044347526529,0.020824498484557915,1.9665386383679118,0.9832693191839559,0.9665386383679118,nan,0.03515625,-0.007705220021307468,-0.006706151459366083,-0.0045897699892520905,-0.0018512675887905061,-4.36400714534102e-05,0.0018025211757048965,0.004975949414074421,0.006916501210071145,0.00981487799435854
cost_lipschitz,7,500,episode_500.pt,attention_pool.parametrizations.weight.original,1x128,128,0.0036516047821351094,0.1270227597319076,2.072526732177235,1.4376921821261113,1.5332360113939363,0.9376848518050644,1.0,1.0,1.0,0.9999999999999999,0.0,-0.25227808952331543,-0.20684595733880998,-0.1893576852977276,-0.09940965846180916,5.200132727622986e-05,0.09929238818585873,0.2148296773433685,0.2553716209530831,0.2743476331233978
cost_lipschitz,7,500,episode_500.pt,critic_body.0.parametrizations.weight.original,256x128,32768,-0.0003972833936507422,0.07215748358074688,1.8139610516933804,2.148805929348825,1.9711971193069777,1.0901020036516134,64.0213001936665,0.5001664077630196,0.15508746156840714,1.0000000000000002,0.001007080078125,-0.13110996782779694,-0.12280251137912274,-0.11284078173339367,-0.06264287792146206,-0.0007016290619503707,0.061847832053899765,0.11289358995854853,0.12277676001191139,0.13390624523162842
cost_lipschitz,7,500,episode_500.pt,critic_body.2.parametrizations.weight.original,128x256,32768,-0.0006696086884691345,0.07233055399584802,1.8032952001132414,2.154832713977441,1.9711971193069777,1.0931594272697724,64.18127707449452,0.5014162271444884,0.17443651073472236,1.0000000000000004,0.000823974609375,-0.1341392546892166,-0.12321128852665425,-0.11269849836826325,-0.0631646029651165,-0.0010517975897528231,0.06167932227253914,0.112435282766819,0.12258926883339881,0.13226839900016785
cost_lipschitz,7,500,episode_500.pt,critic_body.4.parametrizations.weight.original,64x128,8192,0.0014688208869376718,0.102199169820064,1.797014142273729,2.0134056620399368,1.9711971193069777,1.021412644285823,34.11737808680801,0.5330840326063752,0.18040089168442333,0.9999999999999999,0.00048828125,-0.18443229794502258,-0.1737758459150791,-0.15830670967698096,-0.08722857385873795,0.0017670065280981362,0.09038970991969109,0.15937244072556495,0.1733926147222519,0.18248087167739868
cost_lipschitz,7,500,episode_500.pt,critic_body.6.parametrizations.weight.original,1x64,64,0.007289109613338951,0.1603808869374759,2.0231869807990637,1.2843715353758152,1.5787044347526527,0.8135604785179736,1.0,1.0,1.0,1.0,0.0,-0.29537513852119446,-0.2863426011800766,-0.24936843514442444,-0.11192389763891697,-0.000525731360539794,0.13531985133886337,0.2665409728884696,0.28334508180618284,0.28942540287971497
cost_lipschitz,7,500,episode_500.pt,encoder.layers.0.attn.out_proj.parametrizations.weight.original,128x128,16384,-0.00015457281170316167,0.05765709657885167,2.2059839451930565,1.9102854955126571,2.0,0.9551427477563286,35.42763209909988,0.2767783757742178,0.0011158983602726237,0.9999999999999998,0.00079345703125,-0.16891825199127197,-0.11684259869158267,-0.09170455187559128,-0.045731001533567905,-0.0005714093276765198,0.04531732853502035,0.09120742753148073,0.11592850528657436,0.19398921728134155
cost_lipschitz,7,500,episode_500.pt,encoder.layers.0.attn.qk_proj.parametrizations.weight.original,128x128,16384,0.0002488910545291878,0.07169515147695596,2.7143756287618634,2.5680050695495487,2.0,1.2840025347747743,31.647203468127476,0.2472437770947459,0.0018072795321780626,1.0,0.001220703125,-0.26497986912727356,-0.16064148485660554,-0.11575140729546547,-0.051161518320441246,-0.00018483964231563732,0.051585289649665356,0.116320364177227,0.159470122307539,0.2371022254228592
cost_lipschitz,7,500,episode_500.pt,encoder.layers.0.attn.v_proj.parametrizations.weight.original,128x128,16384,0.0007470130956026555,0.057739497156722414,2.2750213786791615,2.097270587851776,2.0,1.048635293925888,32.173544996510174,0.25135582028523573,0.0013530781584834158,1.0,0.00054931640625,-0.19094330072402954,-0.11730375535786151,-0.09181938841938972,-0.044620794244110584,0.0015085775521583855,0.04635565262287855,0.09112836830317968,0.11955560714006425,0.20415472984313965
