model,seed,episode,tensor,bin_left,bin_right,count
cost,4,400,actor.0.weight,-0.1593772917985916,-0.1515276748232725,99
cost,4,400,actor.0.weight,-0.1515276748232725,-0.14367805784795343,420
cost,4,400,actor.0.weight,-0.14367805784795343,-0.13582844087263432,414
cost,4,400,actor.0.weight,-0.13582844087263432,-0.12797882389731524,413
cost,4,400,actor.0.weight,-0.12797882389731524,-0.12012920692199613,398
cost,4,400,actor.0.weight,-0.12012920692199613,-0.11227958994667704,400
cost,4,400,actor.0.weight,-0.11227958994667704,-0.10442997297135795,418
cost,4,400,actor.0.weight,-0.10442997297135795,-0.09658035599603886,437
cost,4,400,actor.0.weight,-0.09658035599603886,-0.08873073902071976,451
cost,4,400,actor.0.weight,-0.08873073902071976,-0.08088112204540067,377
cost,4,400,actor.0.weight,-0.08088112204540067,-0.07303150507008158,404
cost,4,400,actor.0.weight,-0.07303150507008158,-0.06518188809476247,405
cost,4,400,actor.0.weight,-0.06518188809476247,-0.057332271119443376,454
cost,4,400,actor.0.weight,-0.057332271119443376,-0.04948265414412428,439
cost,4,400,actor.0.weight,-0.04948265414412428,-0.04163303716880519,419
cost,4,400,actor.0.weight,-0.04163303716880519,-0.0337834201934861,397
cost,4,400,actor.0.weight,-0.0337834201934861,-0.02593380321816699,431
cost,4,400,actor.0.weight,-0.02593380321816699,-0.01808418624284791,461
cost,4,400,actor.0.weight,-0.01808418624284791,-0.010234569267528804,412
cost,4,400,actor.0.weight,-0.010234569267528804,-0.0023849522922097244,456
cost,4,400,actor.0.weight,-0.0023849522922097244,0.005464664683109383,455
cost,4,400,actor.0.weight,0.005464664683109383,0.013314281658428462,401
cost,4,400,actor.0.weight,0.013314281658428462,0.02116389863374757,388
cost,4,400,actor.0.weight,0.02116389863374757,0.029013515609066676,395
cost,4,400,actor.0.weight,0.029013515609066676,0.036863132584385755,411
cost,4,400,actor.0.weight,0.036863132584385755,0.04471274955970486,388
cost,4,400,actor.0.weight,0.04471274955970486,0.05256236653502394,402
cost,4,400,actor.0.weight,0.05256236653502394,0.06041198351034305,436
cost,4,400,actor.0.weight,0.06041198351034305,0.06826160048566213,429
cost,4,400,actor.0.weight,0.06826160048566213,0.07611121746098123,414
cost,4,400,actor.0.weight,0.07611121746098123,0.08396083443630031,467
cost,4,400,actor.0.weight,0.08396083443630031,0.09181045141161942,419
cost,4,400,actor.0.weight,0.09181045141161942,0.09966006838693853,425
cost,4,400,actor.0.weight,0.09966006838693853,0.10750968536225763,444
cost,4,400,actor.0.weight,0.10750968536225763,0.11535930233757669,412
cost,4,400,actor.0.weight,0.11535930233757669,0.12320891931289579,456
cost,4,400,actor.0.weight,0.12320891931289579,0.1310585362882149,423
cost,4,400,actor.0.weight,0.1310585362882149,0.138908153263534,387
cost,4,400,actor.0.weight,0.138908153263534,0.14675777023885306,420
cost,4,400,actor.0.weight,0.14675777023885306,0.15460738721417217,285
cost,4,400,actor.0.weight,0.15460738721417217,0.16245700418949127,22
cost,4,400,actor.2.weight,-0.00910824816673994,-0.00872045790594889,1
cost,4,400,actor.2.weight,-0.00872045790594889,-0.008332667645157837,0
cost,4,400,actor.2.weight,-0.008332667645157837,-0.007944877384366786,1
cost,4,400,actor.2.weight,-0.007944877384366786,-0.0075570871235757335,0
cost,4,400,actor.2.weight,-0.0075570871235757335,-0.007169296862784683,0
cost,4,400,actor.2.weight,-0.007169296862784683,-0.006781506601993631,0
cost,4,400,actor.2.weight,-0.006781506601993631,-0.006393716341202579,0
cost,4,400,actor.2.weight,-0.006393716341202579,-0.006005926080411527,0
cost,4,400,actor.2.weight,-0.006005926080411527,-0.0056181358196204755,0
cost,4,400,actor.2.weight,-0.0056181358196204755,-0.005230345558829424,3
cost,4,400,actor.2.weight,-0.005230345558829424,-0.004842555298038372,1
cost,4,400,actor.2.weight,-0.004842555298038372,-0.004454765037247321,2
cost,4,400,actor.2.weight,-0.004454765037247321,-0.004066974776456269,3
cost,4,400,actor.2.weight,-0.004066974776456269,-0.0036791845156652174,5
cost,4,400,actor.2.weight,-0.0036791845156652174,-0.0032913942548741656,2
cost,4,400,actor.2.weight,-0.0032913942548741656,-0.002903603994083114,7
cost,4,400,actor.2.weight,-0.002903603994083114,-0.002515813733292062,8
cost,4,400,actor.2.weight,-0.002515813733292062,-0.0021280234725010103,11
cost,4,400,actor.2.weight,-0.0021280234725010103,-0.0017402332117099585,18
cost,4,400,actor.2.weight,-0.0017402332117099585,-0.0013524429509189067,11
cost,4,400,actor.2.weight,-0.0013524429509189067,-0.0009646526901278558,11
cost,4,400,actor.2.weight,-0.0009646526901278558,-0.0005768624293368031,13
cost,4,400,actor.2.weight,-0.0005768624293368031,-0.0001890721685457522,22
cost,4,400,actor.2.weight,-0.0001890721685457522,0.0001987180922452987,17
cost,4,400,actor.2.weight,0.0001987180922452987,0.0005865083530363514,12
cost,4,400,actor.2.weight,0.0005865083530363514,0.0009742986138274023,15
cost,4,400,actor.2.weight,0.0009742986138274023,0.001362088874618455,12
cost,4,400,actor.2.weight,0.001362088874618455,0.0017498791354095058,7
cost,4,400,actor.2.weight,0.0017498791354095058,0.0021376693962005585,7
cost,4,400,actor.2.weight,0.0021376693962005585,0.0025254596569916094,10
cost,4,400,actor.2.weight,0.0025254596569916094,0.002913249917782662,9
cost,4,400,actor.2.weight,0.002913249917782662,0.003301040178573713,9
cost,4,400,actor.2.weight,0.003301040178573713,0.003688830439364764,10
cost,4,400,actor.2.weight,0.003688830439364764,0.0040766207001558166,5
cost,4,400,actor.2.weight,0.0040766207001558166,0.0044644109609468675,12
cost,4,400,actor.2.weight,0.0044644109609468675,0.00485220122173792,3
cost,4,400,actor.2.weight,0.00485220122173792,0.005239991482528971,3
cost,4,400,actor.2.weight,0.005239991482528971,0.005627781743320024,2
cost,4,400,actor.2.weight,0.005627781743320024,0.006015572004111075,3
cost,4,400,actor.2.weight,0.006015572004111075,0.006403362264902127,0
cost,4,400,actor.2.weight,0.006403362264902127,0.006791152525693178,1
cost,4,400,attention_pool.weight,-0.3386715054512024,-0.32373183529551436,1
cost,4,400,attention_pool.weight,-0.32373183529551436,-0.3087921651398263,1
cost,4,400,attention_pool.weight,-0.3087921651398263,-0.2938524949841383,1
cost,4,400,attention_pool.weight,-0.2938524949841383,-0.27891282482845026,0
cost,4,400,attention_pool.weight,-0.27891282482845026,-0.2639731546727622,0
cost,4,400,attention_pool.weight,-0.2639731546727622,-0.24903348451707422,0
cost,4,400,attention_pool.weight,-0.24903348451707422,-0.23409381436138618,2
cost,4,400,attention_pool.weight,-0.23409381436138618,-0.21915414420569815,3
cost,4,400,attention_pool.weight,-0.21915414420569815,-0.20421447405001011,5
cost,4,400,attention_pool.weight,-0.20421447405001011,-0.18927480389432208,2
cost,4,400,attention_pool.weight,-0.18927480389432208,-0.17433513373863405,2
cost,4,400,attention_pool.weight,-0.17433513373863405,-0.15939546358294604,5
cost,4,400,attention_pool.weight,-0.15939546358294604,-0.144455793427258,3
cost,4,400,attention_pool.weight,-0.144455793427258,-0.12951612327156997,6
cost,4,400,attention_pool.weight,-0.12951612327156997,-0.11457645311588194,3
cost,4,400,attention_pool.weight,-0.11457645311588194,-0.0996367829601939,4
cost,4,400,attention_pool.weight,-0.0996367829601939,-0.08469711280450587,3
cost,4,400,attention_pool.weight,-0.08469711280450587,-0.06975744264881784,2
cost,4,400,attention_pool.weight,-0.06975744264881784,-0.0548177724931298,4
cost,4,400,attention_pool.weight,-0.0548177724931298,-0.03987810233744177,1
cost,4,400,attention_pool.weight,-0.03987810233744177,-0.024938432181753734,5
cost,4,400,attention_pool.weight,-0.024938432181753734,-0.0099987620260657,2
