model,seed,episode,tensor,bin_left,bin_right,count
lyapunov,1,best,actor.0.weight,-0.160328209400177,-0.15260102109211246,80
lyapunov,1,best,actor.0.weight,-0.15260102109211246,-0.14487383278404795,377
lyapunov,1,best,actor.0.weight,-0.14487383278404795,-0.1371466444759834,413
lyapunov,1,best,actor.0.weight,-0.1371466444759834,-0.1294194561679189,436
lyapunov,1,best,actor.0.weight,-0.1294194561679189,-0.12169226785985435,401
lyapunov,1,best,actor.0.weight,-0.12169226785985435,-0.11396507955178982,419
lyapunov,1,best,actor.0.weight,-0.11396507955178982,-0.10623789124372529,452
lyapunov,1,best,actor.0.weight,-0.10623789124372529,-0.09851070293566075,391
lyapunov,1,best,actor.0.weight,-0.09851070293566075,-0.09078351462759622,406
lyapunov,1,best,actor.0.weight,-0.09078351462759622,-0.08305632631953169,391
lyapunov,1,best,actor.0.weight,-0.08305632631953169,-0.07532913801146716,451
lyapunov,1,best,actor.0.weight,-0.07532913801146716,-0.06760194970340264,380
lyapunov,1,best,actor.0.weight,-0.06760194970340264,-0.05987476139533811,415
lyapunov,1,best,actor.0.weight,-0.05987476139533811,-0.052147573087273566,426
lyapunov,1,best,actor.0.weight,-0.052147573087273566,-0.04442038477920904,404
lyapunov,1,best,actor.0.weight,-0.04442038477920904,-0.03669319647114451,398
lyapunov,1,best,actor.0.weight,-0.03669319647114451,-0.02896600816307998,403
lyapunov,1,best,actor.0.weight,-0.02896600816307998,-0.02123881985501544,432
lyapunov,1,best,actor.0.weight,-0.02123881985501544,-0.013511631546950925,430
lyapunov,1,best,actor.0.weight,-0.013511631546950925,-0.005784443238886383,410
lyapunov,1,best,actor.0.weight,-0.005784443238886383,0.0019427450691781312,409
lyapunov,1,best,actor.0.weight,0.0019427450691781312,0.009669933377242673,401
lyapunov,1,best,actor.0.weight,0.009669933377242673,0.017397121685307215,423
lyapunov,1,best,actor.0.weight,0.017397121685307215,0.02512430999337173,439
lyapunov,1,best,actor.0.weight,0.02512430999337173,0.03285149830143627,467
lyapunov,1,best,actor.0.weight,0.03285149830143627,0.040578686609500786,397
lyapunov,1,best,actor.0.weight,0.040578686609500786,0.04830587491756533,427
lyapunov,1,best,actor.0.weight,0.04830587491756533,0.05603306322562987,443
lyapunov,1,best,actor.0.weight,0.05603306322562987,0.06376025153369438,387
lyapunov,1,best,actor.0.weight,0.06376025153369438,0.07148743984175893,393
lyapunov,1,best,actor.0.weight,0.07148743984175893,0.07921462814982344,419
lyapunov,1,best,actor.0.weight,0.07921462814982344,0.08694181645788798,390
lyapunov,1,best,actor.0.weight,0.08694181645788798,0.09466900476595252,433
lyapunov,1,best,actor.0.weight,0.09466900476595252,0.10239619307401704,408
