model,seed,episode,source,tensor,shape,n,mean,std,kurt,sigma_max,xavier_sigma,vs_xavier,eff_rank,rank_frac,tail,eff_sig,frac_tiny,min,p1,p5,p25,median,p75,p95,p99,max
lyapunov,2,500,episode_500.pt,actor.0.weight,128x128,16384,-0.0017215211019399948,0.08858075996588087,1.805333343230817,1.9266858005998269,2.0,0.9633429002999134,56.345197398746855,0.4401968546777098,0.0027781139938930556,nan,0.000732421875,-0.1597866714000702,-0.1505370719730854,-0.13836406618356703,-0.07859838753938675,-0.002462680102325976,0.07441900297999382,0.13781745359301567,0.15054075345396994,0.15850229561328888
lyapunov,2,500,episode_500.pt,actor.2.weight,2x128,256,9.73650451641106e-05,0.0026659085209309293,2.50530659486592,0.030585203796845765,1.5787044347526529,0.01937360985600688,1.9734171617766598,0.9867085808883299,0.9734171617766598,nan,0.0234375,-0.006488870829343796,-0.006081631756387651,-0.004723379155620933,-0.001641624141484499,0.000282172579318285,0.002166359277907759,0.004018741310574114,0.005074352724477647,0.006406725849956274
lyapunov,2,500,episode_500.pt,attention_pool.weight,1x128,128,0.005753338133217767,0.1485641503823944,2.494991092533792,1.6820713964782479,1.5332360113939363,1.0970727167756766,1.0,1.0,1.0,nan,0.0,-0.3362644910812378,-0.32909758120775223,-0.25555827617645266,-0.09562366455793381,0.010653248056769371,0.11190644279122353,0.22635062113404272,0.27374549090862277,0.3736357092857361
lyapunov,2,500,episode_500.pt,barrier.0.weight,128x128,16384,0.0005160418093151375,0.09269522312833359,1.9461121718374013,2.8414217758746343,2.0,1.4207108879373171,39.41395161722717,0.30792149700958726,0.004601214156095859,nan,0.00054931640625,-0.25795814394950867,-0.1706941917538643,-0.14305013790726662,-0.07780646160244942,0.0010984755936078727,0.07866303063929081,0.14227082803845403,0.17026437386870386,0.28142163157463074
lyapunov,2,500,episode_500.pt,barrier.3.weight,64x128,8192,-0.004940504953349148,0.1024625816287715,1.8965394073690967,2.006519397440691,1.9711971193069777,1.017919201376538,34.51440378385506,0.5392875591227353,0.169431870394036,nan,0.00048828125,-0.24740172922611237,-0.1879612299799919,-0.16190179735422133,-0.0916924737393856,-0.006146491738036275,0.0822008065879345,0.1558425486087799,0.18297640547156335,0.23931008577346802
lyapunov,2,500,episode_500.pt,barrier.5.weight,5x64,320,-0.015208696646004683,0.15810143179798627,2.071766138176539,1.525338285952262,1.7427039430274385,0.8752710361706262,4.131038877101073,0.8262077754202146,0.6899498039798191,nan,0.0,-0.34461820125579834,-0.306444905102253,-0.2623956337571144,-0.13769609853625298,-0.011710678227245808,0.11302018910646439,0.253604206442833,0.2845314604043961,0.3097533583641052
lyapunov,2,500,episode_500.pt,critic.0.weight,256x128,32768,0.00020484523751697348,0.07332402710486516,1.8408162254426839,2.644488103636082,1.9711971193069777,1.3415645131248042,52.6413059984494,0.4112602031128859,0.12196814474465614,nan,0.000762939453125,-0.14980030059814453,-0.12883900240063667,-0.11391517631709576,-0.06280467845499516,0.00026484800036996603,0.06340679712593555,0.1141056071966886,0.1289339204132556,0.15218167006969452
lyapunov,2,500,episode_500.pt,critic.2.weight,128x256,32768,0.0017141478808613136,0.07316339936208792,1.84434600489338,2.420205973675288,1.9711971193069777,1.2277848572172074,57.577508510994,0.44982428524214063,0.14836963439290893,nan,0.000732421875,-0.13962088525295258,-0.12540665820240973,-0.11182367876172065,-0.0613347589969635,0.0013879348407499492,0.06442266516387463,0.11567319594323634,0.1328198337554931,0.154257670044899
lyapunov,2,500,episode_500.pt,critic.4.weight,64x128,8192,0.0004921072841793661,0.10378245275156305,1.8055518264156496,2.0393401388150605,1.9711971193069777,1.0345693583054951,34.25021655336195,0.5351596336462805,0.1801873790349517,nan,0.000732421875,-0.1917090266942978,-0.17581129133701326,-0.15986124649643899,-0.08947589993476868,0.00037804743624292314,0.0912867933511734,0.16171969696879385,0.18271626546978953,0.1996336430311203
lyapunov,2,500,episode_500.pt,critic.6.weight,1x64,64,-0.018166824942454696,0.1930766030815755,1.8198935674457806,1.55143511752978,1.5787044347526527,0.9827267748018044,1.0,1.0,1.0,nan,0.0,-0.31264054775238037,-0.3037188419699669,-0.26812717914581297,-0.17741288989782333,-0.058302272111177444,0.15050536021590233,0.30612893402576447,0.3149150788784027,0.31774604320526123
