model,seed,episode,tensor,bin_left,bin_right,count
lyapunov,3,500,actor.0.weight,-0.16098782420158386,-0.1531717450153537,68
lyapunov,3,500,actor.0.weight,-0.1531717450153537,-0.14535566582912351,390
lyapunov,3,500,actor.0.weight,-0.14535566582912351,-0.13753958664289334,410
lyapunov,3,500,actor.0.weight,-0.13753958664289334,-0.12972350745666317,399
lyapunov,3,500,actor.0.weight,-0.12972350745666317,-0.12190742827043301,449
lyapunov,3,500,actor.0.weight,-0.12190742827043301,-0.11409134908420285,413
lyapunov,3,500,actor.0.weight,-0.11409134908420285,-0.10627526989797267,415
lyapunov,3,500,actor.0.weight,-0.10627526989797267,-0.0984591907117425,421
lyapunov,3,500,actor.0.weight,-0.0984591907117425,-0.09064311152551233,403
lyapunov,3,500,actor.0.weight,-0.09064311152551233,-0.08282703233928215,391
lyapunov,3,500,actor.0.weight,-0.08282703233928215,-0.07501095315305199,390
lyapunov,3,500,actor.0.weight,-0.07501095315305199,-0.06719487396682182,415
lyapunov,3,500,actor.0.weight,-0.06719487396682182,-0.059378794780591646,454
lyapunov,3,500,actor.0.weight,-0.059378794780591646,-0.051562715594361486,406
lyapunov,3,500,actor.0.weight,-0.051562715594361486,-0.04374663640813131,443
lyapunov,3,500,actor.0.weight,-0.04374663640813131,-0.03593055722190114,419
lyapunov,3,500,actor.0.weight,-0.03593055722190114,-0.028114478035670964,413
lyapunov,3,500,actor.0.weight,-0.028114478035670964,-0.02029839884944079,439
lyapunov,3,500,actor.0.weight,-0.02029839884944079,-0.012482319663210617,404
lyapunov,3,500,actor.0.weight,-0.012482319663210617,-0.004666240476980443,398
lyapunov,3,500,actor.0.weight,-0.004666240476980443,0.0031498387092497027,398
lyapunov,3,500,actor.0.weight,0.0031498387092497027,0.010965917895479876,432
lyapunov,3,500,actor.0.weight,0.010965917895479876,0.01878199708171005,418
lyapunov,3,500,actor.0.weight,0.01878199708171005,0.026598076267940224,437
lyapunov,3,500,actor.0.weight,0.026598076267940224,0.0344141554541704,392
lyapunov,3,500,actor.0.weight,0.0344141554541704,0.04223023464040057,451
lyapunov,3,500,actor.0.weight,0.04223023464040057,0.050046313826630745,419
lyapunov,3,500,actor.0.weight,0.050046313826630745,0.05786239301286089,452
