model,seed,episode,source,tensor,shape,n,mean,std,kurt,sigma_max,xavier_sigma,vs_xavier,eff_rank,rank_frac,tail,eff_sig,frac_tiny,min,p1,p5,p25,median,p75,p95,p99,max
normal,6,500,episode_500.pt,actor.0.weight,128x128,16384,0.000535694817223431,0.08824915785381518,1.8061902411626147,1.9435981603271846,2.0,0.9717990801635923,55.76605165162621,0.4356722785283298,0.0001213188177818805,nan,0.00067138671875,-0.15979453921318054,-0.15001080080866813,-0.13741146624088288,-0.07618843950331211,0.0011749513214454055,0.07682830654084682,0.13779258653521534,0.15039326265454292,0.1582244336605072
normal,6,500,episode_500.pt,actor.2.weight,2x128,256,-8.299086031726688e-05,0.002613255925617446,2.829161711686923,0.032313650427687565,1.5787044347526529,0.02046846117382978,1.8221818185899843,0.9110909092949921,0.8221818185899844,nan,0.0390625,-0.009173995815217495,-0.005798294581472874,-0.004608248011209071,-0.0017626213375478983,2.6341748707636725e-05,0.0016223412530962378,0.004025975125841796,0.005075284605845809,0.005572981666773558
normal,6,500,episode_500.pt,attention_pool.weight,1x128,128,0.01803862074848439,0.15144003752569565,2.480153247690596,1.7254602374292327,1.5332360113939363,1.1253715831136373,1.0,1.0,1.0,nan,0.0,-0.3465200364589691,-0.31582391142845156,-0.2697950467467308,-0.08075154572725296,0.04601411335170269,0.12852754071354866,0.23504054248332976,0.30161789029836655,0.31268763542175293
normal,6,500,episode_500.pt,critic.0.weight,256x128,32768,-0.00048653335480274354,0.07365562508297567,1.8567812622828628,2.827771462416441,1.9711971193069777,1.434545249036592,49.38575953043711,0.38582624633153995,0.12491896432221475,nan,0.000823974609375,-0.1510080248117447,-0.13088653728365898,-0.11513128392398357,-0.06361295096576214,-0.0007897980103734881,0.06254045851528645,0.11420421861112118,0.13058325663208956,0.15247507393360138
normal,6,500,episode_500.pt,critic.2.weight,128x256,32768,0.00281694707955097,0.07336847984825552,1.8359929044855121,2.556435264994867,1.9711971193069777,1.296894785384855,54.60607234041471,0.42660994015948994,0.14412384999673578,nan,0.00079345703125,-0.14338935911655426,-0.12604503065347672,-0.1117882963269949,-0.06027692463248968,0.0031568214762955904,0.06582150980830193,0.11533796340227126,0.13261403098702432,0.15626898407936096
normal,6,500,episode_500.pt,critic.4.weight,64x128,8192,0.0029917953301130673,0.10325713734461979,1.8401402446273927,2.0828232243117473,1.9711971193069777,1.056628585701269,33.45532989200021,0.5227395295625032,0.1722987381183356,nan,0.000732421875,-0.19812865555286407,-0.17668834805488587,-0.1581687696278095,-0.0864973682910204,0.003649664344266057,0.09126259759068489,0.1641928218305111,0.1854645101726056,0.202584907412529
normal,6,500,episode_500.pt,critic.6.weight,1x64,64,0.0026847537756111706,0.17937348764366245,1.9867409203036044,1.435148627225192,1.5787044347526527,0.9090673311816264,1.0,1.0,1.0,nan,0.0,-0.3138430714607239,-0.31263896346092224,-0.28033439368009566,-0.1299707517027855,0.017337752506136894,0.13753842562437057,0.2833552196621894,0.31867692500352857,0.3230653703212738
normal,6,500,episode_500.pt,encoder.layers.0.linear1.weight,256x128,32768,0.0003589686491215077,0.08338887131507138,2.3977940130188777,3.9738257661034737,1.9711971193069777,2.0159454004785524,38.38915130187223,0.2999152445458768,0.0921039836134918,nan,0.000732421875,-0.4044630229473114,-0.17357835426926613,-0.1312766931951046,-0.06454073078930378,0.0006695444462820888,0.06501631252467632,0.13114098161458967,0.17464678615331647,0.31903791427612305
normal,6,500,episode_500.pt,encoder.layers.0.linear2.weight,128x256,32768,-0.00040985384872940095,0.08032537992942476,2.249007644343913,3.4867753896146345,1.9711971193069777,1.768861853268381,42.51387794002189,0.33213967140642103,0.10036246976923548,nan,0.0010986328125,-0.2664686441421509,-0.16299242168664932,-0.12662558183073996,-0.06399176083505154,-0.0010367087670601904,0.06315913423895836,0.126376637071371,0.163518077880144,0.2803710699081421
normal,6,500,episode_500.pt,encoder.layers.0.self_attn.in_proj_weight,384x128,49152,-0.00015298552796461085,0.0914009108408295,3.007556394624141,5.978920687460308,1.9318516525781364,3.094917086144368,32.694285039497615,0.2554241018710751,0.10320394272506686,nan,0.0008341471354166666,-0.37115561962127686,-0.21371674954891204,-0.14857082962989807,-0.06386261247098446,-7.526655826950446e-05,0.06417972594499588,0.14599762856960288,0.21271982446312884,0.388886034488678
normal,6,500,episode_500.pt,encoder.layers.0.self_attn.out_proj.weight,128x128,16384,-0.0005953970850988144,0.09863920023750779,2.179363091683343,3.92041480374902,2.0,1.96020740187451,29.613145422109564,0.23135269861023097,0.0002091802333999544,nan,0.00054931640625,-0.30476245284080505,-0.19635300666093827,-0.15534071549773215,-0.0791142862290144,-0.002243260503746569,0.07856770604848862,0.15526673048734652,0.19743469178676606,0.2878655195236206
