episode,steps,final_battery,total_reward,loss
1,720,23.228298928427275,-167.71917749453104,
2,720,23.14345589361514,-167.48313962971014,235.28443908691406
3,720,22.896274473157447,-167.56640038276913,
4,720,23.01934289422507,-167.25793778041302,206.27810668945312
5,720,22.54878473110649,-167.05369793781574,
6,720,22.328705144847582,-167.22317239454335,174.6118621826172
7,720,22.122799037178844,-167.19363055505397,
8,720,22.05715959126653,-167.032865873921,147.20806884765625
9,720,21.834975288816217,-166.92658727718984,
10,720,21.717128738380286,-167.09288341625927,119.15902709960938
11,720,21.35063624009699,-166.79964927806978,
12,720,21.28252363822187,-166.76308614384538,90.82745361328125
13,720,21.443838910815984,-166.80432263595785,
14,720,21.55255765376119,-166.8621132628183,63.25368118286133
15,720,21.03268415342543,-166.674782595431,
16,720,21.349491691061743,-166.8526141135735,38.62701416015625
17,720,20.857801005213776,-166.78071280309794,
18,720,20.868145021541118,-166.75063570039453,20.161542892456055
19,720,20.787896279674516,-166.74123006541757,
20,720,21.253952488325343,-167.0807090969467,11.194405555725098
21,720,21.094018936866345,-166.8753219107806,
22,720,20.826596635162502,-166.69440440582315,16.297922134399414
23,720,20.67965292267404,-166.69810512010656,
24,720,21.06136114712909,-166.7046640016512,26.775659561157227
25,720,20.9920791693323,-166.86708727521025,
26,720,20.70450003892654,-166.63024460453394,31.224138259887695
27,720,21.124181619773807,-166.86619396367684,
28,720,20.820721159579783,-166.794278109436,26.172632217407227
29,720,20.891732445359548,-166.67103656563242,
30,720,20.87685200704362,-166.72941311895806,15.320311546325684
31,720,21.140789986576916,-166.71881817520608,
32,720,20.923505784511924,-166.90092416802767,8.617545127868652
33,720,20.884728926020824,-166.58853823262731,
34,720,21.07138563874463,-166.8603528420229,14.803475379943848
35,720,21.019637311698855,-166.74555664434115,
36,720,21.064440167105996,-166.69678977068887,23.16969108581543
37,720,21.06094670753657,-166.73431385581426,
38,720,21.320857562715606,-166.79081481141355,23.86033058166504
39,720,20.93627574197143,-166.706928645432,
40,720,20.963492199427307,-166.7321149655547,17.83804702758789
41,720,20.93350086739943,-166.8237742253306,
42,720,21.003593426450415,-166.7618422530406,10.034833908081055
43,720,20.960674083948764,-166.54626288973884,
44,720,20.581389963187398,-166.71059232889488,6.777988433837891
45,720,20.487319672537755,-166.66861904792097,
46,720,20.86274747094709,-166.7548858164143,8.622584342956543
47,720,20.964219240397373,-166.85731628123338,
48,720,20.85846144861603,-166.72881900766188,8.733421325683594
49,720,20.933321236185524,-166.8857756702605,
50,720,20.906148784598848,-166.9153059790687,6.648357391357422
51,720,20.795860852245678,-166.74385682468832,
52,720,20.936133491841556,-166.55581191869558,5.296341896057129
53,720,20.972802646639003,-166.7152825789022,
54,720,21.190285926485934,-166.8778041994071,5.799631595611572
55,720,21.04193794648656,-166.70694483687672,
56,720,21.026018342725195,-166.5707494068859,5.163004398345947
57,720,20.809071333764813,-166.58981961197202,
58,720,20.984673649490198,-166.75699886100602,4.257970809936523
59,720,21.02046569546456,-166.7246333368799,
60,720,21.082477641347733,-166.67220033979115,4.3068132400512695
61,720,21.125959801534073,-166.74972207326948,
62,720,20.7780807151089,-166.80941175283283,3.6926114559173584
63,720,21.43434475390521,-167.08506126941722,
64,720,21.170367232883336,-166.79952368395664,3.5546813011169434
65,720,21.111215908527196,-166.83276405458076,
66,720,21.40066683335122,-166.9894873705828,3.7662193775177
67,720,21.08704487404033,-166.71877794721644,
68,720,20.975607105611214,-166.7098385954191,2.660876750946045
69,720,21.14043713684362,-166.791728282351,
70,720,20.82622077188943,-166.7938975170336,2.5727756023406982
71,720,20.799781601000976,-166.76454188336209,
72,720,21.123714600408466,-166.7159095479004,2.2028563022613525
73,720,21.13021952539812,-166.9334863953815,
74,720,21.155697752844187,-166.7006837060975,2.1717112064361572
75,720,21.124787858061598,-166.91767983848985,
76,720,20.942382565514542,-166.84706689782388,1.496188998222351
77,720,21.19900542811204,-166.78636731839316,
78,720,21.029004230307493,-166.96323197459026,1.7119213342666626
79,720,21.40738028120823,-166.93424007506854,
80,720,21.319741874729008,-166.86552293010627,1.18941330909729
81,720,21.342281819649862,-167.0149398219116,
82,720,21.380527740432136,-166.95937200217898,1.5644843578338623
83,720,21.37195128700889,-166.88314669742374,
84,720,21.434645259557318,-166.96096902977075,0.7897326946258545
85,720,20.906889859953278,-166.86690039631372,
86,720,21.185600685924552,-166.90296809450618,0.8593785762786865
87,720,20.926902034426202,-166.79041710696967,
88,720,21.37412621865551,-166.75583612323462,0.9558410048484802
89,720,21.064253264101893,-166.78717610418104,
90,720,20.993133270090215,-166.71326745671306,0.8047876358032227
91,720,21.227400323677525,-166.76023472168112,
92,720,21.364703073962595,-166.77614516858876,0.5913370251655579
93,720,21.14172382422097,-166.93769746553195,
94,720,20.881505170660432,-166.72499624855791,0.5342617630958557
95,720,20.900028764134586,-166.88252555424725,
96,720,21.597969721050674,-166.84910160054133,0.5076144933700562
97,720,21.402438258395136,-166.98154961560599,
98,720,21.484402164131698,-166.96177828599974,1.3234355449676514
99,720,21.15136842399043,-166.82971498252184,
100,720,21.199633774247083,-167.06398333021218,3.660825252532959
101,720,21.058623923242205,-166.90017733570357,
102,720,21.198851320246625,-166.70110787700838,2.534573793411255
103,720,21.14204522921694,-166.95825579657412,
104,720,21.1125526805433,-166.83794332788602,2.655028820037842
105,720,21.148152233970695,-166.85572396458602,
106,720,21.08521448202964,-166.6152163265436,2.883664131164551
107,720,21.06315348426969,-166.88121424788332,
108,720,21.442291572549806,-167.15447095937802,2.6287097930908203
109,720,21.07470787177508,-166.91874306689266,
110,720,20.965848743160155,-166.5837107203759,2.2616665363311768
111,720,21.305302283332935,-166.86624648582142,
112,720,21.322765952117624,-166.84938556215036,2.3278870582580566
113,720,21.33031367994207,-166.8613229109217,
