step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,action_dx_norm,action_dy_norm
0,494.47443598474484,401.360275212646,514.4544355269811,381.3802756704097,514.0500774017582,381.7291452611237,100.0,99.91763417574904,-0.08236582425095662,-0.2201784518384825,0.9990000128746033,-0.9990000128746033
1,514.0500774017582,381.7291452611237,534.0300769439946,361.74914571888735,535.6143187112986,361.39074842374805,99.91763417574904,99.83618611007212,-0.08144806567692342,-0.22218076306125162,0.9990000128746033,-0.9990000128746033
2,535.6143187112986,361.39074842374805,555.5943182535349,341.4107488815117,556.1352907611998,341.2348311550089,99.83618611007212,99.75516950719151,-0.08101660288060941,-0.2195613308764035,0.9990000128746033,-0.9990000128746033
3,556.1352907611998,341.2348311550089,576.1152903034362,321.2548316127726,576.0886840728627,320.2428887565484,99.75516950719151,99.67425505633412,-0.08091445085739224,-0.21975297444142206,0.9990000128746033,-0.9990000128746033
4,576.0886840728627,320.2428887565484,596.0686836150991,300.26288921431205,596.5302494740118,299.9842357664235,99.67425505633412,99.59319983028962,-0.08105522604449789,-0.21966983419213343,0.9990000128746033,-0.9990000128746033
5,596.5302494740118,299.9842357664235,616.5102490162482,280.0042362241872,616.8406751560344,278.4355879696095,99.59319983028962,99.51145325739876,-0.0817465728908644,-0.22271670910769223,0.9990000128746033,-0.9990000128746033
6,616.8406751560344,278.4355879696095,636.8206746982708,258.4555884273732,615.7538603175037,273.1243830825084,99.51145325739876,99.41943857873252,-0.09201467866623148,-0.19487187804418254,0.9990000128746033,-0.9990000128746033
7,615.7538603175037,273.1243830825084,635.73385985974,253.1443835402721,612.7022126859945,268.5909766211143,99.41943857873252,99.32492505212322,-0.09451352660930468,-0.19995670598731266,0.9990000128746033,-0.9990000128746033
8,612.7022126859945,268.5909766211143,632.6822122282308,248.61097707887797,609.5708277979745,263.5822536736636,99.32492505212322,99.23019249489002,-0.09473255723320051,-0.2012791530445061,0.9990000128746033,-0.9990000128746033
9,609.5708277979745,263.5822536736636,629.5508273402108,243.6022541314273,606.7353665255458,259.6515486357379,99.23019249489002,99.1363842420402,-0.09380825284982564,-0.19730986068595344,0.9990000128746033,-0.9990000128746033
10,606.7353665255458,259.6515486357379,626.7153660677822,239.6715490935016,603.2054894102204,255.16284912579917,99.1363842420402,99.04155012323501,-0.09483411880518133,-0.20108900041147587,0.9990000128746033,-0.9990000128746033
11,603.2054894102204,255.16284912579917,623.1854889524567,235.18284958356284,601.3118689712481,250.31677845760348,99.04155012323501,98.94488439776742,-0.096665725467588,-0.20373725686994915,0.9990000128746033,-0.9990000128746033
12,601.3118689712481,250.31677845760348,621.2918685134845,230.33677891536715,598.4661733018769,245.91292068147195,98.94488439776742,98.84912563165025,-0.09575876611717149,-0.20200408498633396,0.9990000128746033,-0.9990000128746033
13,598.4661733018769,245.91292068147195,618.4461728441132,225.93292113923562,595.9341226173719,243.91364546704773,98.84912563165025,98.75285522389147,-0.09627040775878015,-0.19899322035666114,0.9990000128746033,-0.9990000128746033
14,595.9341226173719,243.91364546704773,615.9141221596083,223.9336459248114,593.0913055756201,240.4702625308907,98.75285522389147,98.6560284283832,-0.096826795508278,-0.20258409935099966,0.9990000128746033,-0.9990000128746033
15,593.0913055756201,240.4702625308907,613.0713051178565,220.49026298865437,588.7789938018162,239.1696245564073,98.6560284283832,98.55855696811508,-0.09747146026811038,-0.2039512926366962,0.9990000128746033,-0.9990000128746033
