step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,action_dx_norm,action_dy_norm
0,187.84293513834479,305.6051644389937,167.94809299051764,285.6251648967574,166.7097090586354,285.0200945580731,100.0,99.91835692597985,-0.0816430740201497,-0.3851642813010252,-0.9947420954704285,-0.9990000128746033
1,166.7097090586354,285.0200945580731,146.72970951639908,265.04009501583676,145.82253109521227,264.67328356993426,99.91835692597985,99.83747109253183,-0.08088583344802203,-0.3812817161468098,-0.9990000128746033,-0.9990000128746033
2,145.82253109521227,264.67328356993426,125.97749744958239,244.69328402769793,124.5165434049864,244.4037687374829,99.83747109253183,99.75534586087659,-0.08212523165524033,-0.39030644310385626,-0.9922516942024231,-0.9990000128746033
3,124.5165434049864,244.4037687374829,104.5732774900694,224.42376919524656,103.59375308174138,223.98986455540575,99.75534586087659,99.67315796104337,-0.08218789983321528,-0.39057150860316137,-0.9971632957458496,-0.9990000128746033
4,103.59375308174138,223.98986455540575,83.61375353950505,204.00986501316942,83.64028274196654,202.99784738026017,99.67315796104337,99.59221546525157,-0.08094249579180257,-0.3866907322485519,-0.9990000128746033,-0.9990000128746033
5,83.64028274196654,202.99784738026017,63.68399917263061,183.01784783802384,63.52375211548927,182.49117211860235,99.59221546525157,99.5110513814209,-0.08116408383067153,-0.38626954514216755,-0.9978141784667969,-0.9990000128746033
6,63.52375211548927,182.49117211860235,43.57881536316994,162.53625039619024,42.5358151790714,162.53319345703517,99.5110513814209,99.4300533866615,-0.08099799475940017,-0.39225993703285356,-0.9972468614578247,-0.9977461099624634
7,42.5358151790714,162.53319345703517,22.55581563683507,142.55319391479884,22.123528327177418,142.2304439341854,99.4300533866615,99.34891475192934,-0.08113863473215588,-0.3926671889993645,-0.9990000128746033,-0.9990000128746033
8,22.123528327177418,142.2304439341854,2.1605213539108163,122.25261113999593,1.807323178457678,120.6654430668137,99.34891475192934,99.26716030165595,-0.08175445027339379,-0.40916364837245384,-0.9981503486633301,-0.9988915920257568
9,1.807323178457678,120.6654430668137,0.0,100.68544352457737,1.121383336977559,99.38241390033532,99.26716030165595,99.18046711003467,-0.0866931916212792,-0.29429665142711686,-0.9931503534317017,-0.9990000128746033
10,1.121383336977559,99.38241390033532,0.0,79.402414358099,-0.5900060110000607,78.71178992104873,99.18046711003467,99.0938156961793,-0.08665141385536401,-0.28630908668910043,-0.998699963092804,-0.9990000128746033
11,-0.5900060110000607,78.71178992104873,0.0,58.731790378812406,-1.172963222873875,57.477446183305716,99.0938156961793,99.00690818470356,-0.0869075114757436,-0.2945828090468491,-0.9990000128746033,-0.9990000128746033
12,-1.172963222873875,57.477446183305716,0.0,37.49744664106939,0.4845166244900249,36.799922144667306,99.00690818470356,98.92012935037069,-0.08677883433287548,-0.2868146446013153,-0.9990000128746033,-0.9990000128746033
