step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,action_dx_norm,action_dy_norm
0,630.6338481342195,400.0130555504139,596.9786166583895,420.0425259941395,605.2428152292365,414.92416944265193,100.0,99.91861090730636,-0.08138909269364092,-0.3801865036973358,-1.682761549949646,1.0014735460281372
1,605.2428152292365,414.92416944265193,573.6027967661017,432.09953489065,578.8769870679508,429.23651045904,99.91861090730636,99.83797481441323,-0.08063609289312978,-0.3838655229324152,-1.582000970840454,0.8587682247161865
2,578.8769870679508,429.23651045904,547.1545520703922,446.4457313452705,552.5073666213544,443.5418632160545,99.83797481441323,99.75735457751202,-0.08062023690121123,-0.38070296397595127,-1.5861217975616455,0.8604610562324524
3,552.5073666213544,443.5418632160545,520.7193436263593,460.6829784046531,526.1017293748765,457.78062445457147,99.75735457751202,99.6767050327753,-0.08064954473671548,-0.37762629481050547,-1.589401125907898,0.8570557832717896
4,526.1017293748765,457.78062445457147,494.24742410754254,474.85735327537225,499.66145066619754,471.95495554310776,99.6767050327753,99.59602795894308,-0.08067707383222,-0.37454179844647106,-1.5927152633666992,0.8538364768028259
5,499.66145066619754,471.95495554310776,467.7410023629749,488.9667811046312,473.18658857141907,486.06458619250805,99.59602795894308,99.51532327569173,-0.08070468325135494,-0.3730609404497752,-1.596022367477417,0.850591242313385
6,473.18658857141907,486.06458619250805,441.20010785852844,503.0111575426057,446.67725402651826,500.1093425800943,99.51532327569173,99.43459097588074,-0.08073229981098962,-0.3750310409636417,-1.5993239879608154,0.8473285436630249
7,446.67725402651826,500.1093425800943,414.62486297427216,516.9903049519205,420.1335593607777,514.0890519294289,99.43459097588074,99.35383104961572,-0.08075992626501716,-0.3769930957902664,-1.6026196479797363,0.8440480828285217
8,420.1335593607777,514.0890519294289,388.01537241009413,530.9040543708352,393.5556174434605,528.0035409045842,99.35383104961572,99.2730434869616,-0.08078756265412324,-0.3789470833910764,-1.6059093475341797,0.8407500982284546
9,393.5556174434605,528.0035409045842,361.3717604793492,544.7522343707707,366.94354444205646,541.8526408958411,99.2730434869616,99.19222827814127,-0.08081520882032578,-0.38089298241965264,-1.6091928482055664,0.837434709072113
10,366.94354444205646,541.8526408958411,334.6941509789217,558.534682064054,340.2974603592388,555.6361891709229,99.19222827814127,99.11138541341596,-0.08084286472531232,-0.3828307725028339,-1.6124696731567383,0.8341020345687866
11,340.2974603592388,555.6361891709229,307.98266009678764,572.2512347184082,313.6174850582215,569.3540212859891,99.11138541341596,99.03051488283432,-0.08087053058163463,-0.38476043355566053,-1.6157399415969849,0.8307522535324097
12,313.6174850582215,569.3540212859891,281.23742295495003,585.9017297973417,286.9037421957579,583.0059787382457,99.03051488283432,98.94961667667054,-0.08089820616378063,-0.3866819453585333,-1.619003176689148,0.827385425567627
13,286.9037421957579,583.0059787382457,254.45855558076767,599.4860145201061,260.1563565121079,596.591903774477,98.94961667667054,98.86869078505534,-0.08092589161520891,-0.38859528852354314,-1.6222593784332275,0.8240017890930176
14,260.1563565121079,596.591903774477,227.64619415859227,613.0039330408345,233.3754557883904,610.1116432847757,98.86869078505534,98.78773719823673,-0.08095358681860887,-0.39050044372072684,-1.625508189201355,0.8206014633178711
15,233.3754557883904,610.1116432847757,200.80046646954276,626.4553360643167,206.561169498913,623.5650462292342,98.78773719823673,98.70675590639465,-0.08098129184207892,-0.39239739224955544,-1.6287494897842407,0.8171846270561218
16,206.561169498913,623.5650462292342,173.9215096173212,639.8400763653426,179.71363004799025,636.9519661674087,98.70675590639465,98.6257468997871,-0.08100900660754462,-0.3942861156910834,-1.6319830417633057,0.8137515187263489
17,179.71363004799025,636.9519661674087,147.0094560062422,653.1580113181656,152.83297146729547,650.2722587418285,98.6257468997871,98.54471016860575,-0.08103673118135646,-0.39616659617554817,-1.6352087259292603,0.8103022575378418
18,152.83297146729547,650.2722587418285,120.06444729737359,666.4090003800121,125.91933062583371,663.5257841843991,98.54471016860575,98.46364570311965,-0.0810644654860937,-0.3994813735702292,-1.6384263038635254,0.8068370819091797
