step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,action_dx_norm,action_dy_norm
0,401.94857419684257,150.8720170224163,412.7326928491863,133.47246181611746,413.35246482475065,132.5726075926551,100.0,99.91391646873468,-0.08608353126531654,-0.27921739020589137,0.5392059087753296,-0.8699777126312256
1,413.35246482475065,132.5726075926551,424.4074555931833,114.42617090137091,424.6403065689386,113.75858327328082,99.91391646873468,99.82832004300936,-0.08559642572532766,-0.28644073247640267,0.552749514579773,-0.9073218703269958
2,424.6403065689386,113.75858327328082,435.8419304855646,94.99625035702105,435.9388850065095,94.88656338815666,99.82832004300936,99.74289517958384,-0.0854248634255157,-0.2894534886305253,0.5600811839103699,-0.9381166100502014
3,435.9388850065095,94.88656338815666,447.02267292460033,76.62351903085685,447.28739307256,76.0465821268349,99.74289517958384,99.65738253124411,-0.08551264833972994,-0.29212572148790844,0.5541893839836121,-0.9131522178649902
4,447.28739307256,76.0465821268349,458.4611696991469,57.40983285925678,458.52894063391346,57.15335607404763,99.65738253124411,99.57204496740101,-0.08533756384309754,-0.29416606493429776,0.5586888194084167,-0.9318374395370483
5,458.52894063391346,57.15335607404763,469.76006646551747,38.248431681347434,469.4221338774584,38.52101396710888,99.57204496740101,99.48761299240077,-0.08443197500024269,-0.28882458865907845,0.5615562796592712,-0.9452462196350098
6,469.4221338774584,38.52101396710888,480.6119818236254,19.811274282050285,480.7467896529058,19.668232328919345,99.48761299240077,99.4021323571935,-0.08548063520727567,-0.2995908014682696,0.5594924092292786,-0.9354870319366455
7,480.7467896529058,19.668232328919345,492.0455987044195,6.663279898194247,489.9239011706623,5.153413383616989,99.4021323571935,99.31439994443421,-0.08773241275928001,-0.23378215720043644,0.5649404525756836,-0.6502476334571838
8,489.9239011706623,5.153413383616989,491.1648757161411,0.0,490.705461461625,-2.4064374104547688,99.31439994443421,99.22584521946372,-0.08855472497049277,-0.09296034044765535,0.06204872578382492,-0.7606064677238464
9,490.705461461625,-2.4064374104547688,479.61014362104885,0.0,477.46259631906383,-0.3599928837703774,99.22584521946372,99.14144184401736,-0.08440337544635668,-0.17156960064884402,-0.5547658801078796,-0.5776568651199341
10,477.46259631906383,-0.3599928837703774,471.06561651025646,0.0,472.3489988385849,-0.026003579093212326,99.14144184401736,99.05561318442437,-0.08582865959299113,-0.05041673353468652,-0.3198489844799042,-0.5652968883514404
11,472.3489988385849,-0.026003579093212326,466.03942566506197,0.0,466.384337225616,0.06996340273963136,99.05561318442437,98.97032672848123,-0.0852864559431481,-0.062105027649075197,-0.315478652715683,-0.5398133397102356
12,466.384337225616,0.06996340273963136,459.9721181780696,0.0,460.3412494728653,-0.22599327290069865,98.97032672848123,98.88736777762342,-0.08295895085780103,-0.058926338521559964,-0.3206109404563904,-0.566426694393158
13,460.3412494728653,-0.22599327290069865,454.11758566595,0.0,454.4191956450124,-0.05884625975620006,98.88736777762342,98.80575410189832,-0.08161367572510869,-0.054489372527231655,-0.3111831843852997,-0.5367180705070496
14,454.4191956450124,-0.05884625975620006,448.07865094438984,0.0,448.4238692413287,0.06744211373296377,98.80575410189832,98.7264705735516,-0.07928352834672125,-0.05105554113182644,-0.3170272409915924,-0.545936644077301
15,448.4238692413287,0.06744211373296377,442.0348178039508,0.0,442.42924685799557,0.06336297216003806,98.7264705735516,98.64943819260196,-0.07703238094963183,-0.04667733159854205,-0.31945258378982544,-0.568155825138092
16,442.42924685799557,0.06336297216003806,436.0458349736877,0.0,436.431142237426,-0.06630630314824693,98.64943819260196,98.5749183674867,-0.07451982511526012,-0.041890682581385195,-0.31917059421539307,-0.5684794187545776
