episode,steps,final_battery,total_reward,loss
1,720,77.44787934406364,43.70748006942354,N/A (PSO)
2,720,78.33926899068537,69.00550532157928,N/A (PSO)
3,720,63.754035518375495,-20.274496066401362,N/A (PSO)
4,720,79.00299610524995,44.455302078525996,N/A (PSO)
5,720,77.44788177416733,51.45875509200941,N/A (PSO)
6,720,78.33042102373106,50.11801838770531,N/A (PSO)
7,720,78.45339547710799,50.04496444617357,N/A (PSO)
8,720,78.93650334157515,51.93827069341763,N/A (PSO)
9,720,78.75387480287883,63.785414308499014,N/A (PSO)
10,720,78.33041390418701,53.30204482226591,N/A (PSO)
11,720,78.59415429126035,53.30426569335744,N/A (PSO)
12,720,78.27301657340304,64.66335180104862,N/A (PSO)
13,720,18.445306162838893,-106.19546199565858,N/A (PSO)
14,720,78.32997949775688,53.29406007351505,N/A (PSO)
15,720,78.39572426939799,40.49008006403391,N/A (PSO)
16,720,66.48868580444127,14.548503779764841,N/A (PSO)
17,720,77.94332247944855,43.31540697181693,N/A (PSO)
18,720,18.35557016694584,-104.16109515668244,N/A (PSO)
19,720,19.31227833886971,-113.3603720881817,N/A (PSO)
20,720,20.084811581692406,-120.4773186004452,N/A (PSO)
21,720,77.91400296033679,41.326281040806975,N/A (PSO)
22,720,33.252946355978914,-66.91910864775652,N/A (PSO)
23,720,78.31130916931218,32.54322802182825,N/A (PSO)
24,720,77.5029443641689,4.974931670763824,N/A (PSO)
25,720,19.89873612478455,-119.93633169356875,N/A (PSO)
26,720,25.79748424602953,-78.53631315578359,N/A (PSO)
27,720,20.9300837025673,-128.57470122032535,N/A (PSO)
28,720,78.27893978671075,55.55207496073163,N/A (PSO)
29,720,77.93578750682754,68.05766028967872,N/A (PSO)
30,720,35.16703418011783,-51.02384333776479,N/A (PSO)
31,720,78.33622291541,65.9247139856454,N/A (PSO)
32,720,78.52235880408702,65.26559867351162,N/A (PSO)
33,720,23.2946564521379,-170.690083324834,N/A (PSO)
34,720,72.84039209454829,12.164352203584254,N/A (PSO)
35,720,78.5744413579779,56.982635585405944,N/A (PSO)
36,720,78.29313503040268,66.22228897907304,N/A (PSO)
37,720,78.33622483525664,65.60388270105183,N/A (PSO)
38,720,78.2730109236311,69.10321105178828,N/A (PSO)
39,720,77.42613496022483,59.38007922186897,N/A (PSO)
40,720,77.9846512233247,64.37591407489246,N/A (PSO)
41,720,36.09168458326263,-67.92838660027166,N/A (PSO)
42,720,35.705473329012406,-121.02228650826032,N/A (PSO)
43,720,78.29313392367219,67.34890132080587,N/A (PSO)
44,720,77.4474630456335,62.52860513945525,N/A (PSO)
45,720,35.214438472420284,-51.88973059070884,N/A (PSO)
46,720,78.83424758873379,43.42555521577648,N/A (PSO)
47,720,21.54200928950395,-139.52354551331317,N/A (PSO)
48,720,77.97833090545602,65.62314280913418,N/A (PSO)
49,720,78.3362267583266,67.9742938631121,N/A (PSO)
50,720,77.5496944391881,63.12736527643124,N/A (PSO)
51,720,77.93578961139197,70.99089554670053,N/A (PSO)
52,720,78.278945688142,67.38814719706211,N/A (PSO)
53,720,78.84649188953566,58.60463847287332,N/A (PSO)
54,720,78.88724218596232,52.58949008992611,N/A (PSO)
55,720,78.2730224355577,69.82158769541095,N/A (PSO)
56,720,78.1179749458605,49.06532235571567,N/A (PSO)
57,720,78.16940371297937,60.62113170838617,N/A (PSO)
58,720,78.27894182281852,69.84331133054827,N/A (PSO)
59,720,78.85191487403605,58.5655834892848,N/A (PSO)
60,720,78.40073600358251,64.14450063846893,N/A (PSO)
61,720,78.29313748201642,67.37168671626881,N/A (PSO)
62,720,78.29313015355216,70.8789111638741,N/A (PSO)
63,720,78.34919371540927,67.14567121206716,N/A (PSO)
64,720,78.27894374058037,57.226511386361196,N/A (PSO)
65,720,78.2789400289743,67.98089241144471,N/A (PSO)
66,720,78.278945688142,68.48259866977295,N/A (PSO)
67,720,78.278945688142,71.8201156808762,N/A (PSO)
68,720,78.27893850305134,64.09098155331995,N/A (PSO)
69,720,78.16151354110268,23.39856346188019,N/A (PSO)
70,720,78.35874542679952,-0.691961656424735,N/A (PSO)
71,720,58.216542688972,-50.4641314590235,N/A (PSO)
72,720,78.2793782673622,67.29957646955316,N/A (PSO)
73,720,35.29192174365798,-46.42705844362411,N/A (PSO)
74,720,78.33621922511138,68.21799473304888,N/A (PSO)
75,720,78.27894209559312,60.84644180063839,N/A (PSO)
76,720,78.83350243897642,20.960097854238864,N/A (PSO)
77,720,78.84931226172874,19.25874238463379,N/A (PSO)
78,720,78.28291754710982,64.60647335493772,N/A (PSO)
79,720,78.278945688142,69.4560440841191,N/A (PSO)
80,720,78.51161964283627,32.06131459458635,N/A (PSO)
81,720,78.2789395781518,67.56203996828943,N/A (PSO)
82,720,78.33622087811925,71.83949572212511,N/A (PSO)
83,720,78.3362173881791,69.36212319686723,N/A (PSO)
84,720,78.43575568880313,42.144772033302104,N/A (PSO)
85,720,78.27301555584401,11.772583148967675,N/A (PSO)
86,720,78.33622453283272,64.9649577242516,N/A (PSO)
87,720,78.92988456387113,47.11327543809301,N/A (PSO)
88,720,39.94478061500107,-130.37080936182568,N/A (PSO)
89,720,78.27893810944092,64.55575154279774,N/A (PSO)
90,720,77.7096907756842,48.77191219726329,N/A (PSO)
91,720,77.91955086160007,67.94274793904488,N/A (PSO)
92,720,78.27894209559312,64.40800440876313,N/A (PSO)
93,720,78.13902786187583,33.4783749918013,N/A (PSO)
94,720,78.2789395781518,69.3483227991462,N/A (PSO)
95,720,78.29313319842117,70.27597256063181,N/A (PSO)
96,720,78.87081938314401,50.849903918488934,N/A (PSO)
97,720,78.29313392367219,69.40877358204605,N/A (PSO)
98,720,78.278945688142,66.17916264947075,N/A (PSO)
99,720,78.27893891932402,66.83343276489497,N/A (PSO)
100,720,78.293135340217,67.23195004441315,N/A (PSO)
101,720,77.29360477960007,-33.55054458111599,N/A (PSO)
102,720,77.91955183459672,63.29842739188287,N/A (PSO)
103,720,77.9846512233247,68.11290830049906,N/A (PSO)
104,720,78.27893981651079,70.19314356569393,N/A (PSO)
105,720,78.01082977318484,61.44152233711631,N/A (PSO)
106,720,78.27893795750315,66.14257798508768,N/A (PSO)
107,720,77.44745446588857,64.16015727667464,N/A (PSO)
108,720,78.33622501335462,66.41438078976842,N/A (PSO)
109,720,78.27894394555219,66.45894788847018,N/A (PSO)
110,720,78.33621755597689,69.64447267401407,N/A (PSO)
111,720,78.278945688142,71.03333472812898,N/A (PSO)
112,720,78.29313175915581,65.00813602793922,N/A (PSO)
113,720,78.29313213941361,70.37964314651427,N/A (PSO)
114,720,78.278945688142,66.55219994576606,N/A (PSO)
115,720,78.29313748201642,67.60828293073997,N/A (PSO)
116,720,78.29313392367219,64.99303547668836,N/A (PSO)
117,720,78.01082902924658,61.61957323633651,N/A (PSO)
118,720,78.27894209559312,64.19702781141807,N/A (PSO)
119,720,78.278945688142,68.69840258794012,N/A (PSO)
120,720,77.91955142081751,70.54002207166005,N/A (PSO)
121,720,78.29313513185771,66.09580983043129,N/A (PSO)
122,720,78.33622495270414,67.78999315838558,N/A (PSO)
123,720,78.33621913314715,66.7128644504338,N/A (PSO)
124,720,78.3362211097909,64.86802070042928,N/A (PSO)
125,720,78.3362267583266,68.60160449409527,N/A (PSO)
126,720,78.2931322429296,70.35323307249669,N/A (PSO)
127,720,78.29313379157162,66.80243573816315,N/A (PSO)
128,720,78.86655349397068,54.898919374940085,N/A (PSO)
129,720,78.278945688142,65.04002433260294,N/A (PSO)
130,720,77.9357881045627,66.04442546996961,N/A (PSO)
131,720,78.28680778746863,64.6606989173751,N/A (PSO)
132,720,78.01083181008472,67.93457763497528,N/A (PSO)
133,720,78.278945688142,66.97383385243467,N/A (PSO)
134,720,77.93578961139197,68.1566789682587,N/A (PSO)
135,720,77.98464855734927,68.20822185919057,N/A (PSO)
136,720,77.9372175929564,65.61645997930565,N/A (PSO)
137,720,77.93057341442159,66.26142903664288,N/A (PSO)
138,720,78.23476326753428,71.00037888274564,N/A (PSO)
139,720,78.278945688142,69.03988526489938,N/A (PSO)
140,720,78.278945688142,63.97933863747075,N/A (PSO)
141,720,78.278940900273,69.79601408246317,N/A (PSO)
142,720,78.33622056237114,62.92654011204221,N/A (PSO)
143,720,78.27893850305134,65.98804271702858,N/A (PSO)
144,720,78.27894394555219,68.87704851679865,N/A (PSO)
145,720,77.91954877835717,67.38531614728903,N/A (PSO)
146,720,78.29313203795853,67.4743230839496,N/A (PSO)
147,720,78.293135340217,66.73977086650874,N/A (PSO)
148,720,78.29313379157162,67.83725620228574,N/A (PSO)
149,720,78.4673666641151,38.491921929340556,N/A (PSO)
150,720,78.27894209559312,66.63640962256807,N/A (PSO)
151,720,78.27894382913027,67.86452458779198,N/A (PSO)
152,720,78.33622495270414,69.30347743348365,N/A (PSO)
153,720,72.63006218109471,20.620853002517922,N/A (PSO)
154,720,78.27894368183034,67.77785752334506,N/A (PSO)
155,720,78.27894193924047,65.00562136977398,N/A (PSO)
156,720,78.2931301011341,66.10396373482546,N/A (PSO)
157,720,78.27894024563781,63.404292797422194,N/A (PSO)
158,720,78.33041954429962,47.063713835339236,N/A (PSO)
159,720,78.27894359077125,66.62236123606291,N/A (PSO)
160,720,78.64228547690473,65.39615569197973,N/A (PSO)
161,720,78.29313513185771,68.05429292034661,N/A (PSO)
162,720,78.278940900273,68.53877957193072,N/A (PSO)
163,720,78.3362211097909,68.54741391030544,N/A (PSO)
164,720,78.29313748201642,69.38235830053742,N/A (PSO)
165,720,78.2789400289743,68.6269708397121,N/A (PSO)
166,720,78.29313748201642,70.84202830423139,N/A (PSO)
167,720,78.293135340217,70.35598516249703,N/A (PSO)
168,720,77.98465110353231,64.31865640294211,N/A (PSO)
169,720,77.98465110353231,66.79327998147198,N/A (PSO)
170,720,78.27894394555219,70.40433932043057,N/A (PSO)
171,720,78.2789400289743,68.31916065672617,N/A (PSO)
172,720,78.29313392367219,67.31385165108031,N/A (PSO)
173,720,78.29313748201642,69.2080039879043,N/A (PSO)
174,720,78.01082977318484,68.95835830067993,N/A (PSO)
175,720,78.0249759746688,40.710762459288176,N/A (PSO)
176,720,78.29312961735639,67.76945632048267,N/A (PSO)
177,720,78.29313606547156,39.03606706017935,N/A (PSO)
178,720,78.27893849938042,69.5498546276159,N/A (PSO)
179,720,78.01082977318484,67.17209433185326,N/A (PSO)
180,720,78.01083191164817,67.57832512134273,N/A (PSO)
181,720,78.29313503040268,60.86948289468431,N/A (PSO)
182,720,78.29313748201642,66.83023582340847,N/A (PSO)
183,720,78.29313353417889,66.85963790210783,N/A (PSO)
184,720,78.278945688142,66.97595521193101,N/A (PSO)
185,720,78.278945688142,69.39987002065646,N/A (PSO)
