step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,action_dx_norm,action_dy_norm
0,371.394588803545,423.218483651857,352.54911074568366,403.2190806519791,352.39142036855475,401.7836801622774,100.0,99.91888379477584,-0.08111620522416274,-0.21952363878933784,-0.9422738552093506,-0.9999701380729675
1,352.39142036855475,401.7836801622774,333.71445274770514,381.78436299308794,333.22311260799546,380.1024886124839,99.91888379477584,99.83632709198099,-0.08255670279484661,-0.2229925240840986,-0.9338483810424805,-0.9999659061431885
2,333.22311260799546,380.1024886124839,314.6194024334349,360.10312566692727,313.18565904802307,360.39628226983893,99.83632709198099,99.75482761158526,-0.08149948039573474,-0.21920693579811604,-0.9301854968070984,-0.9999681711196899
3,313.18565904802307,360.39628226983893,294.94759714311584,340.396785809878,294.46990145821235,339.0906363378197,99.75482761158526,99.67207910044174,-0.08274851114352089,-0.2222142200577753,-0.9119030833244324,-0.9999748468399048
4,294.46990145821235,339.0906363378197,275.9513601221528,319.0912409673363,275.8066716234571,317.004289678711,99.67207910044174,99.58934168228559,-0.08273741815614244,-0.22330641442013946,-0.9259271025657654,-0.9999697804450989
5,275.8066716234571,317.004289678711,257.2778744737989,297.0047951260987,256.6242775803134,295.7953755975516,99.58934168228559,99.50674654479826,-0.08259513748733127,-0.22238406057164634,-0.9264398217201233,-0.9999747276306152
6,256.6242775803134,295.7953755975516,238.25481652074308,275.79600692994904,238.75276748944975,273.65812582282297,99.50674654479826,99.42394737984486,-0.0827991649533999,-0.2224999538033658,-0.9184730052947998,-0.999968409538269
7,238.75276748944975,273.65812582282297,220.23563759137846,253.6587323596882,219.73884380461274,253.38149828044163,99.42394737984486,99.34123646120489,-0.08271091863997526,-0.22101575487478325,-0.9258564710617065,-0.9999696612358093
8,219.73884380461274,253.38149828044163,201.49076068998872,233.3821010026096,206.83086073566048,240.9389622921375,99.34123646120489,99.25297488082114,-0.08826158038374388,-0.21238025092988672,-0.9124041795730591,-0.9999698400497437
9,206.83086073566048,240.9389622921375,188.44288504291146,220.93957073635136,210.41383234454688,237.61026337763113,99.25297488082114,99.15576512601295,-0.0972097548081905,-0.20420070013973177,-0.9193987846374512,-0.9999696016311646
