episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,min_battery
1,720,11.550302244530105,-50.489383801889765,24.97156583367501,-55.8971423960604,14.911552737345723,,19.322208615005366,19.174772904007114,0.7621473308245186,18.412625573182595,0.0,42.26358336450326,25.06413750096279,11.550302244530105
2,720,2.8874020681702435,-59.401099452646875,23.961839951238833,-64.57649401885664,14.371030086117177,-1.0791271924972534,21.479245511000045,20.949297700004536,0.6416175292251864,20.30768017077935,0.35656432500400115,42.26300250417915,24.5081346304625,2.8874020681702435
3,720,1.7253135955617096,-60.63424992054714,24.645799646871144,-66.69896659842385,14.21612051569993,,19.404595032989164,19.255862630001502,0.6426950950990431,18.61316753490246,0.0,42.26362855070379,24.370866271819345,1.7253135955617096
4,720,5.585396316072418,-64.13355392899847,23.783111203711712,-68.6290226003548,14.787237455175037,-1.1773546934127808,21.037609670005622,20.580508394006756,0.6416295479575638,19.938878846049192,0.2874681520042941,42.26337759523724,24.227295587351566,5.585396316072418
5,720,18.806077553993568,-32.75172666785447,25.95843363917445,-39.71631154774431,14.3049725233263,,19.5613352520013,19.408028865000233,0.6435857388423756,18.764443126157857,0.0,42.26345403557451,26.264635728537133,16.45877747159231
6,720,15.930607344776734,-39.10177015765948,25.58560560839054,-45.72106839768949,14.351470632011123,-1.0833592414855957,20.560024339007214,20.119956912996713,0.6423292251711246,19.47762768782559,0.29700726599548943,42.26342119255565,25.852986858239472,15.42079621026822
7,720,3.861518033374447,-48.99020208793321,24.799956088393028,-54.24899345113574,14.688576341446446,,19.23917554000218,19.09385357100109,0.642814158971305,18.451039412029786,0.0,42.263072686730624,25.11899860654067,3.861518033374447
8,720,5.738093684144048,-58.05825281117779,24.176721893125215,-62.82067677592699,14.685191169633931,-1.2976279258728027,20.470617642000434,20.015869868992013,0.6430969469074626,19.37277292208455,0.2986093040090054,42.26329811838097,24.590617479346186,5.738093684144048
9,718,0.0,-70.38770188375113,23.891315605766266,-74.99389064718962,14.381595319818597,,19.80032985500293,19.645849830994848,0.6411043520347448,19.004745478960103,0.0,42.26358009015988,23.8192047686539,0.0
10,720,9.003744995497225,-41.679845772167,25.48483885705625,-48.70808198600373,13.903947915968537,-1.1104068756103516,20.243870748992776,19.80132349100313,0.6419606579147512,19.15936283308838,0.29420657599985134,42.26249038125081,25.58554529372486,9.003744995497225
11,720,0.0,-73.72699917880551,23.549056157825895,-78.00383403864247,14.567555974172917,,19.994157299006474,19.842856802002643,0.6438599862740375,19.198996815728606,0.0,42.26248321101317,23.648109275653823,0.0
12,720,0.4986232917577367,-59.4137094326151,23.98404162191942,-62.983452195628225,15.49664277736285,-1.2571194171905518,20.008687666006153,19.55349208599364,0.642386158942827,18.911105927050812,0.29877507001219783,42.263442516503034,24.48473944623186,0.4986232917577367
13,699,0.0,-56.50031243767714,22.946934813451026,-60.6379076886241,14.043248273663107,,20.369856280012755,20.216792860999703,0.6230073522310704,19.593785508768633,0.0,42.26111276322887,24.486760283830908,0.0
