step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,directional_reward,battery_reward,movement_penalty,action_dx_norm,action_dy_norm
0,307.3569998279987,422.1816081233465,301.8292145267902,432.79517738299006,300.85719192362444,433.7245572344905,38.39719400628084,38.13890839949231,-0.2582856067885331,-0.4873722659454235,0.050072316536404884,-0.5165712135770661,0.02087336890476221,-0.2763892710208893,0.5306784510612488
1,300.85719192362444,433.7245572344905,301.4937435422005,446.37354500457104,301.6056044831325,446.69860561523564,38.13890839949231,37.856061121097525,-0.2828472783947831,-0.5604546794008419,0.021428480351834367,-0.5656945567895661,0.016188602963110067,0.03182758018374443,0.6324493885040283
2,301.6056044831325,446.69860561523564,307.00909264231217,452.31324775848515,305.8050262692203,451.10524815962384,37.856061121097525,37.61746095995774,-0.23860016113978588,-0.4010983418350347,0.08723869186884395,-0.47720032227957176,0.01113671142430683,0.27017441391944885,0.28073209524154663
3,305.8050262692203,451.10524815962384,314.64906332518956,455.0877444212205,312.7597824478151,456.8016974133692,37.61746095995774,37.36200760547696,-0.2554533544807782,-0.46725589177176474,0.05821407157830732,-0.5109067089615564,0.014563254388515622,0.4422018527984619,0.19912481307983398
4,312.7597824478151,456.8016974133692,321.99352611541764,460.13268772785284,323.0982433931006,460.67369642300764,37.36200760547696,37.11418436318539,-0.24782324229157382,-0.4086586524839521,0.11179198403376808,-0.49564648458314764,0.02480415193457259,0.46168720722198486,0.16654951870441437
5,323.0982433931006,460.67369642300764,320.4010080472601,464.8367966656224,320.35863167837033,462.88693960977145,37.11418436318539,36.881127686725115,-0.23305667646027217,-0.32800586667744375,0.14574260934947023,-0.46611335292054434,0.007635123106369652,-0.1348617672920227,0.20815502107143402
6,320.35863167837033,462.88693960977145,322.98504263952145,464.3780017740781,324.38079600215605,463.2395851470877,36.881127686725115,36.68502787743416,-0.19609980929095627,-0.22065789359707608,0.1817044332504093,-0.39219961858191255,0.010162708265572837,0.1313205510377884,0.07455310970544815
7,324.38079600215605,463.2395851470877,319.6005425918167,467.03762911338106,321.7528616111014,466.2700019818844,36.68502787743416,36.419707716909265,-0.2653201605248938,-0.424421793684681,0.11404108306329189,-0.5306403210497876,0.007822555698185258,-0.2390126734972,0.189902201294899
8,321.7528616111014,466.2700019818844,320.06470739052037,472.553131673962,318.381025087662,471.01092071810507,36.419707716909265,36.16157412193002,-0.2581335949792418,-0.4420050418641077,0.08469850519274337,-0.5162671899584836,0.01043635709836746,-0.08440770953893661,0.3141564726829529
9,318.381025087662,471.01092071810507,312.801980745621,479.47187347689413,312.4805474999166,479.905220366325,36.16157412193002,35.955127478568684,-0.206446643361339,-0.28858910167231483,0.15307766840685852,-0.412893286722678,0.028773483356495363,-0.2789522111415863,0.42304766178131104
10,312.4805474999166,479.905220366325,312.14263085748917,487.0606864460369,311.29675919817447,486.3091093243552,35.955127478568684,35.702302433158664,-0.25282504541002027,-0.3726426163580463,0.14894023395838374,-0.5056500908200405,0.015932759496389504,-0.016895832493901253,0.3577733039855957
11,311.29675919817447,486.3091093243552,314.295763085351,494.4756962002707,311.994406365687,494.23419944743307,35.702302433158664,35.56265567856919,-0.13964675458947085,-0.06712224958321762,0.23979058429097408,-0.2792935091789417,0.027619324695250014,0.14995019137859344,0.4083293378353119
12,311.994406365687,494.23419944743307,313.40960802965793,501.108979148666,310.870621163758,500.6429860349883,35.56265567856919,35.33222507658648,-0.23043060198271093,-0.34626955962789013,0.1292645478223422,-0.46086120396542185,0.014672903484810483,0.0707600861787796,0.34373897314071655
13,310.870621163758,500.6429860349883,302.97573133221505,501.1154392715682,301.126121308831,499.3879441374481,35.33222507658648,35.070296113717305,-0.26192896286917744,-0.4393496033329269,0.10562447862426291,-0.5238579257383549,0.021116156218834944,-0.39474448561668396,0.02362266182899475
14,301.126121308831,499.3879441374481,302.4385011458671,506.2610754126251,301.42842819031387,504.01073258067504,35.070296113717305,34.86559071756527,-0.2047053961520362,-0.27249189653907846,0.14750723345537048,-0.4094107923040724,0.010588337690376542,0.06561899185180664,0.3436565697193146
15,301.42842819031387,504.01073258067504,306.74581672485976,512.3490409150256,305.0857449193416,514.2540786334789,34.86559071756527,34.69068226620077,-0.17490845136450162,-0.17423247949234458,0.21211685325901916,-0.34981690272900323,0.03653243002236051,0.2658694386482239,0.4169154167175293
16,305.0857449193416,514.2540786334789,311.23057466940264,517.8294677802837,310.8314703441724,519.2296519280632,34.69068226620077,34.57235282967939,-0.11832943652137828,-0.013905942245941279,0.24965987022032698,-0.23665887304275657,0.026906939423511696,0.3072414994239807,0.17876945436000824
17,310.8314703441724,519.2296519280632,303.58937678109254,502.2438445092399,305.00538942697534,500.67755777903335,34.57235282967939,34.354465143067536,-0.21788768661185287,-0.3840587413449765,0.092562155209368,-0.43577537322370574,0.04084552333063874,-0.3621046841144562,-0.8492903709411621
18,305.00538942697534,500.67755777903335,306.17039546850214,507.51055748530166,306.7319727148187,505.90667812367707,34.354465143067536,34.16767801043388,-0.1867871326336541,-0.21468424868085156,0.17318036368065814,-0.3735742652673082,0.014290347094201503,0.0582503043115139,0.34164997935295105
19,306.7319727148187,505.90667812367707,294.81737806455016,494.16181556721955,297.2118644995605,493.45532801488037,34.16767801043388,33.90974848516972,-0.25792952526416,-0.4711902629084502,0.07392256208347436,-0.51585905052832,0.029253774463604474,-0.5957297086715698,-0.5872431397438049
20,297.2118644995605,493.45532801488037,298.2240999026214,502.1213169369995,300.3382227491697,501.4125203415335,33.90974848516972,33.67563476850155,-0.23411371666816905,-0.37934874045620504,0.10704843505246647,-0.4682274333363381,0.01816974217233339,0.050611771643161774,0.4332994222640991
21,300.3382227491697,501.4125203415335,297.5796961855253,496.4528397842825,297.50585387939515,496.2429006014772,33.67563476850155,33.45827858239746,-0.2173561861040909,-0.3176419455849379,0.1301884499780027,-0.4347123722081818,0.01311802335475883,-0.13792632520198822,-0.24798402190208435
22,297.50585387939515,496.2429006014772,295.5776069044501,503.040245286078,297.6920007371974,503.19564565318683,33.45827858239746,33.2099712671455,-0.2483073152519637,-0.39371607780436846,0.117986312086404,-0.4966146305039274,0.015087759386845038,-0.09641234576702118,0.3398672342300415
23,297.6920007371974,503.19564565318683,303.25782238484146,508.5594290127144,304.7528161231529,506.55350230666363,33.2099712671455,33.04484037781489,-0.16513088933060516,-0.1912286954823713,0.1596552106689576,-0.3302617786612103,0.020622127490118616,0.27829107642173767,0.2681891620159149
24,304.7528161231529,506.55350230666363,309.6183652106773,513.7052872035142,310.0810812590803,515.3698142799211,33.04484037781489,32.9178774869103,-0.12696289090459345,-0.04208116113328704,0.2505222904918353,-0.2539257818091869,0.038677669815935414,0.24327746033668518,0.3575892448425293
25,310.0810812590803,515.3698142799211,299.262944090196,502.59619367445237,296.79308507613376,503.13043897828584,32.9178774869103,32.69818113304712,-0.21969635386317776,-0.37144672468118267,0.1094274637072436,-0.4393927077263555,0.041481480662070774,-0.5409068465232849,-0.6386810541152954
26,296.79308507613376,503.13043897828584,296.90948022178844,498.37297218522554,294.4617443392223,498.9835919411254,32.69818113304712,32.46478591150417,-0.23339522154294912,-0.35018400408471223,0.12665963329943067,-0.46679044308589823,0.010053194298244639,0.005819757468998432,-0.23787333071231842
27,294.4617443392223,498.9835919411254,289.2098245928234,503.13090505910634,290.62926505886065,503.7733413180062,32.46478591150417,32.279870651226354,-0.18491526027781902,-0.22012262829982912,0.16552053744867162,-0.36983052055563803,0.01581264519286271,-0.2625959813594818,0.20736564695835114
28,290.62926505886065,503.7733413180062,287.5813538917159,510.6295424898812,285.00950210980295,510.3842229086519,32.279870651226354,32.18144021758662,-0.09843043363973436,0.04904591246546814,0.28024398163237485,-0.19686086727946872,0.03433720188743799,-0.152395561337471,0.3428100645542145
29,285.00950210980295,510.3842229086519,270.00163238934397,500.1404256064058,267.62593867790537,500.7898730693358,32.18144021758662,31.95052305116851,-0.23091716641810933,-0.4185334843274727,0.08269618078076951,-0.46183433283621866,0.039395332272023596,-0.7503935098648071,-0.5121898651123047
30,267.62593867790537,500.7898730693358,276.2060358763917,495.4639119563597,277.9074495211563,495.2157563594608,31.95052305116851,31.687805237316795,-0.2627178138517152,-0.47033446417215347,0.0769405744156624,-0.5254356277034304,0.02183941088438539,0.42900487780570984,-0.2662980556488037
31,277.9074495211563,495.2157563594608,283.56081608686065,491.36297363317294,281.596312221003,491.9311782359606,31.687805237316795,31.532420193561965,-0.15538504375482987,-0.11789862679406535,0.2069008486669011,-0.31077008750965973,0.014029387951306703,0.2826683223247528,-0.19263914227485657
32,281.596312221003,491.9311782359606,286.39442461342855,486.7168761729723,287.53818084739316,488.02023637455017,31.532420193561965,31.393183128828326,-0.1392370647336385,-0.09165303773890263,0.20875063501609353,-0.278474129467277,0.021929543287719146,0.23990562558174133,-0.2607150971889496
33,287.53818084739316,488.02023637455017,277.9563889696466,483.45158422153503,276.1251865876679,485.17355107804815,31.393183128828326,31.223902275401954,-0.1692808534263719,-0.23688711943264446,0.1307990925176981,-0.3385617068527438,0.029124505097598785,-0.4790895879268646,-0.22843259572982788
34,276.1251865876679,485.17355107804815,278.90882005820316,470.7114138557581,281.33305985209444,470.86564295583565,31.223902275401954,30.949771211320098,-0.27413106408185683,-0.5313267535208905,0.03912454332980291,-0.5482621281637137,0.02218916868697975,0.13918167352676392,-0.723106861114502
35,281.33305985209444,470.86564295583565,265.66053349253633,464.75455467992623,264.96954120330633,467.25775181531446,30.949771211320098,30.737939826268402,-0.21183138505169552,-0.3476777680499787,0.11556376151753488,-0.42366277010339104,0.03957875946412256,-0.7836263179779053,-0.30555441975593567
36,264.96954120330633,467.25775181531446,273.8114286773664,453.52753102063673,271.5510768689278,453.6288269818918,30.737939826268402,30.600797178165095,-0.1371426481033069,-0.17218289038046233,0.14241555365684724,-0.2742852962066138,0.04031314783069578,0.4420943856239319,-0.6865110397338867
37,271.5510768689278,453.6288269818918,255.72701738253863,441.9817503751413,257.4743087179377,442.00592279911166,30.600797178165095,30.4979371141617,-0.10286006400339431,-0.08285650161201635,0.18007980872502327,-0.20572012800678863,0.057216182330251004,-0.791202962398529,-0.5823538303375244
38,257.4743087179377,442.00592279911166,257.7777425236418,426.6353201913846,260.11253963479123,427.7743507104186,30.4979371141617,30.256692950848844,-0.24124416331285659,-0.44263918815410713,0.0653136617033507,-0.48248832662571317,0.025464523231744713,0.015171689912676811,-0.7685301303863525
39,260.11253963479123,427.7743507104186,264.2752050019177,411.13163525631705,263.9835009659552,409.6747916198304,30.256692950848844,30.121134132195888,-0.1355588186529566,-0.14384714602639231,0.18678396823909546,-0.2711176373059132,0.05951347695957456,0.2081332802772522,-0.832135796546936
40,263.9835009659552,409.6747916198304,259.71788931739565,418.833035752826,259.6940250583567,421.0319087448131,30.121134132195888,29.9124622935273,-0.20867183866858596,-0.3146403414128798,0.13318839718716888,-0.4173436773371719,0.030485061262876784,-0.213280588388443,0.4579122066497803
41,259.6940250583567,421.0319087448131,258.4403073974528,406.09427713775744,256.24146572679615,407.23344550088194,29.9124622935273,29.798212724014334,-0.1142495695129675,-0.07563375645195247,0.20011438016495564,-0.228499139025935,0.04724899759097311,-0.06268588453531265,-0.7468816041946411
42,256.24146572679615,407.23344550088194,240.96115700334644,393.5335839743927,243.09187171793414,392.2858650724135,29.798212724014334,29.578387771477516,-0.21982495253681833,-0.37272910751526706,0.11379068955766218,-0.43964990507363666,0.046869891999292604,-0.7640154361724854,-0.6849930882453918
