episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,attn_entropy,critic_ev,critic_rmse_norm,critic_rmse_abs,returns_std,returns_mean,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
10,24,24,0.0,-0.0009491572078938285,0.09439651974632095,,,,,,,,,8.24245505531629,0.0,0.19249121993865317,,0.6551610554258028,-0.14392186577121416,0.3193325313429038,0.5553679304818312,0.02630208929379781,0.7561458274722099,-0.019298316988473136,-0.004913941025733948,0.005634516477584839,0.010000000000000009,0.009500000000000008,0.3121854967127244,150.0,82.83333333333333,0.9888332436482111,1.4697077423334122,0.9225688179334005,0.573419784506162,-0.005867579854869594,-0.002011340024182573,0.0017622208900623566,0.34737203146020573,0.93990658223629,0.49383222063382465,-0.002543750638627292,0.012289600408015152,0.02471067022997886,0.10000000149011612,,,,0.004898942909979572,0.055846353992819786,0.10542709287256002,0.00015106536166816417,0.006077444665910055,0.9241463248347043,nan,0.09274429082870483,1.2471320629119873,0.55124431848526,0.4420095980167389,-1.4839165210723877,0.0015966278733685613,0.04938800260424614,0.005859375,0.8578906059265137,1.1282241344451904,1.0,0.4418402910232544,-0.011442559771239758,0.01329980418086052
18,32,32,0.0,-0.007693536870647222,0.018431312797474675,,,,,,,,,6.944307059049606,0.0,0.31448531078591313,,0.5584990596398711,-0.17450382187962532,0.2802900830283761,0.45829265285283327,0.10143360495567322,0.8747369069606066,-0.010369647206971422,0.003153725527226925,0.008620699867606163,0.009500000000000008,0.009025000000000007,0.1681847618892789,150.0,114.375,0.9998397435992956,1.4342484176158905,0.7572655752301216,0.6988970153033733,-0.006497236856375821,-0.003915802684787195,-0.0012287124272916117,0.6371066458523273,0.9010852985084057,0.500989843159914,0.0014182547483869712,0.012818845047149807,0.02639999019447714,0.10000000149011612,,,,0.003955016167310532,0.043176496983505785,0.10552115365862846,0.0006606387441934203,0.00658639453467913,0.8327840666909933,nan,0.6481586694717407,0.5933896899223328,0.2833406627178192,0.47749510407447815,-1.4205925464630127,0.48024579882621765,0.49381744861602783,0.0791015625,0.822218656539917,1.4368808269500732,1.0,0.7096354365348816,-0.0011784480884671211,0.01987508498132229
22,28,28,0.0,-0.00278058518389506,0.014590070965433759,,,,,,,,,7.475073303495135,0.0,0.41783710337799296,,0.6677788517304829,-0.1101447343826294,0.3475837228553636,0.5605848687035697,0.1718563927071435,0.9532273135014943,-0.008749252983501979,-0.00021880226475851878,0.004044373120580401,0.009025000000000007,0.008573750000000007,0.2442131101020745,150.0,127.0,0.9980309414012092,1.388383252280099,0.7792874191488538,0.7164734601974487,-0.006435295716593308,-0.0025705401286748903,-0.0007092690969199923,0.6145067949380193,0.8827222819839206,0.5016556690846171,0.0004991278923885797,0.012490061011963658,0.02506698654698474,0.10000000149011612,,,,0.0036853303567373325,0.03536086343228817,0.10565637770508017,0.0013924398018778966,0.009153000993787177,0.7624284156839278,nan,0.8311194181442261,0.41878843307495117,0.19770324230194092,0.47208380699157715,-1.364393711090088,0.6706077456474304,0.6524128913879395,0.0478515625,0.8151803016662598,1.4151827096939087,1.0,0.967881977558136,0.022342843934893608,0.032931067049503326
26,28,28,0.0,0.005901294860190579,0.016318938312386826,,,,,,,,,8.489609284060341,0.0,0.5207571406047449,,0.727841392159462,-0.11414638800280434,0.3227331170013973,0.5283747145107814,0.036047901426042826,0.9203076426471982,-0.018905087773289,-0.0026122512561934336,0.003906704485416412,0.008573750000000012,0.008145062500000006,0.3185571916401386,150.0,146.85714285714286,0.98590658392225,1.3235925095421928,0.7394764018910271,0.5664800330996513,-0.005188832874409854,-0.0026263750998103724,-0.0003480062943838545,0.5354626498052052,0.8918332500117165,0.5011040877018657,0.00013817814432773697,0.010352428437077574,0.021301952855927602,0.10000000149011612,,,,0.003664240407358323,0.03354158538526723,0.10580047885222095,0.00217126081614489,0.00926998651786042,0.6982026317577607,nan,0.7613460421562195,0.4913513958454132,0.21535633504390717,0.4382939338684082,-1.3231178522109985,0.42035332322120667,0.4595085084438324,0.0078125,0.6852246522903442,1.2983006238937378,1.0,0.9752604365348816,0.03638406842947006,0.027246415615081787
29,28,28,0.0,-0.010536767874977418,0.01695007343576955,,,,,,,,,8.114104236875262,0.0,0.6186715447682899,,0.4187862979514258,-0.20431858354381152,0.3402601554989815,0.4353512429765293,0.16631349282605307,0.9321006323610034,-0.016692490986315534,0.0023780853620597293,0.011544343616281236,0.008145062500000001,0.007737809375000006,0.16878811882010528,150.0,123.57142857142857,0.9770791190011161,1.242121125970568,0.610056317278317,0.5240285843610764,-0.006070458479890866,-0.003337817158483501,-0.0009513552568023442,0.5703010197196688,0.8552100913865226,0.47753246447869707,0.0008242686518704952,0.01079899406925376,0.02090294210107199,0.10000000149011612,,,,0.006062045969883911,0.0743054724963648,0.10596140873219285,0.003039757929010583,0.010657300590537488,0.6420508783545797,nan,0.8763470649719238,0.36747169494628906,0.17670954763889313,0.4808793365955353,-1.2327795028686523,0.494294673204422,0.5440744757652283,0.14453125,0.7024242877960205,1.2816458940505981,1.0,0.8059895634651184,0.015859829261898994,0.013943487778306007
31,24,24,0.0,-0.005454430783477922,0.0083978382802646,,,,,,,,,7.281882752974828,0.0,0.7081583605179346,,0.32959742099046707,-0.21710589403907457,0.28613514577349025,0.235779178639253,0.3471028630932172,0.9575195337335268,0.000822494704152632,0.00559849167863528,0.017032853017250698,0.007737809375000008,0.007019530696197065,0.039109600552668176,150.0,115.0,0.9923576240738233,0.965374859670798,0.5249204263091087,0.49342622235417366,-0.008305890563254556,-0.004706297370527561,-0.0013277034698451946,0.6209202508131663,0.8242009108265241,0.4220442809164524,0.002621764906507451,0.008094779157545418,0.015925341557400923,0.10000000149011612,,,,0.005799312062057045,0.07151692709885538,0.10613216459751129,0.003959890833357349,0.010829440279242894,0.594615342855718,nan,0.8942933082580566,0.4857129156589508,0.16676722466945648,0.3433452546596527,-0.9690781831741333,0.5259128212928772,0.5402480959892273,0.248046875,0.5941898822784424,1.0758686065673828,1.0,0.7526041865348816,0.005214971955865622,0.009552115574479103
33,24,24,0.0,-0.010742374851057926,0.012474377076917639,,,,,,,,,8.993160744508108,0.0,0.7974791671964995,,0.2529241566856702,-0.2645257239540418,0.398186760644118,0.5254735810061296,0.31621093302965164,0.9572591160734495,-0.0022612318468115213,0.007189913963278134,0.021591633558273315,0.007019530696197067,0.005429860039624459,0.0977778931458791,150.0,116.16666666666667,0.9306435137987137,1.0197441776593525,0.5232122341791788,0.5192358791828156,-0.007095955409264813,-0.0033365367125952616,0.00011139122564903421,0.4924212880432606,0.8215445354580879,0.42822984978556633,0.0008617511302873027,0.0119830560288392,0.01781017965792368,0.10000000149011612,,,,0.008429367240751162,0.1120117191846172,0.1063070787737767,0.004900885629467666,0.015094076477301618,0.5506844050514043,nan,0.8941518664360046,0.34758976101875305,0.13608989119529724,0.39152446389198303,-1.0234134197235107,0.46732932329177856,0.581488311290741,0.2001953125,0.48528850078582764,1.0260614156723022,1.0,0.6536458134651184,0.015213883481919765,0.00833234190940857
40,32,32,0.0,-0.0017342454520985484,0.019798158115008846,,,,,,,,,8.064802087843418,0.0,0.9123216280709956,,0.2995460557285696,-0.1991422437131405,0.34239127300679684,0.4347793636843562,0.11181640625,0.8729248046875,-0.010030574576148865,0.004325639456510544,0.011792266741394997,0.005429860039624459,0.0042687254827682,0.12370338605251163,150.0,115.125,0.8620249275118113,1.2162930704653263,0.6040281895548105,0.6932270806282759,-0.006170759763335809,-0.0017630181810091017,0.0007508157684696926,0.41074860002845526,0.7915764041244984,0.5021410770714283,-0.001335304993290265,0.011542185675352812,0.02383924793684855,0.10000000149011612,,,,0.008214389157728874,0.1044921875,0.10653369431383908,0.006117679615272209,0.016648774879286066,0.4988153560845876,nan,0.7198499441146851,0.5700128674507141,0.2927838861942291,0.5136443376541138,-1.2145981788635254,0.5750808715820312,0.521308958530426,0.091796875,0.5911959409713745,1.111189365386963,1.0,0.8919270634651184,0.014353714883327484,0.014008725062012672
48,36,36,0.0,0.01027324071360959,0.0449656397362964,,,,,,,,,10.365380114979214,0.0,0.99524585105365,,0.0906481191308962,-0.23779519833624363,0.32537780991858906,0.4620741667846839,0.31042389737235176,0.884288200073772,0.0018838552916551838,0.01371102738711569,0.02797121720181571,0.004268725482768198,0.004287560307971647,0.05638072562093536,150.0,65.33333333333333,0.8828744126690758,1.2641443527407117,0.5365079260534711,0.7434124251206716,-0.006969135099401076,-0.00352874283433064,-1.745000200672722e-05,0.5006192665961053,0.7390241987175412,0.4969458654522896,-0.00013612729364669777,0.02591558757962452,0.0420993200968951,0.10000000149011612,,,,0.0085495543866677,0.1122757527563307,0.10681178751919004,0.007607426196854148,0.022966710126234427,0.4465169637733143,nan,0.7273434400558472,0.5238326191902161,0.30212244391441345,0.5767537951469421,-1.2667219638824463,0.5964601635932922,0.6284132599830627,0.23046875,0.5652646422386169,1.263826608657837,1.0,0.9973958134651184,0.03148921951651573,0.02501527965068817
53,28,28,0.0,-0.002329047869092652,0.030910131238800074,,,,,,,,,6.038741605622428,0.0,0.9940771329768542,,0.47088389311517986,-0.12962995150259563,0.26944698446563314,0.43874597336564747,0.03651059951101031,0.9396074478115354,-0.016803336030404483,-0.005260344062532697,0.0060790351458958215,0.004287560307971645,0.004073182292573064,0.3249823600053787,150.0,151.0,0.8681965193578175,1.2325095789773124,0.612123402101653,0.5796225432838712,-0.005777514223674578,-0.0028155884647276253,-0.0002955384827925757,0.5222607776522636,0.7600968756846019,0.5275867368493762,0.00013939205103140142,0.018343481933698058,0.03169254373226847,0.10000000149011612,,,,0.005839896878959345,0.07485579952065434,0.10707387274929456,0.00900795157732708,0.019271784462034702,0.40649099202382705,nan,0.6823852062225342,0.577663779258728,0.2733309268951416,0.4731661081314087,-1.219307541847229,0.40692010521888733,0.44613951444625854,0.0078125,0.5233490467071533,1.174494981765747,1.0,0.932725727558136,0.0179884172976017,0.027055900543928146
