episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,critic_ev,critic_rmse_norm,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
8,32,32,0.0,-0.0025570610305294394,0.04360214123153128,,,,,,,,,8.719686336815357,0.0,0.2200455902300655,,0.6437607612460852,-0.07847281091380864,0.24108637496829033,0.5541978981345892,0.02365514636039734,0.8415953163057566,-0.019396765244891867,-0.002184290438890457,0.00341190118342638,0.010000000000000009,0.009500000000000008,0.41227520629763603,150.0,138.75,0.9909750521183014,1.2497863620519638,0.8225729670375586,0.7076959703117609,-0.006793060660129413,-0.003964946619817056,-0.0009801022242754698,0.5689299730584025,0.9471520055085421,0.49868175759911537,0.00019802059398443816,0.011258626662311144,0.023324960959143937,0.30421508578957074,,,,0.004170142241491703,0.04377403552643955,0.10544300335459411,0.00023729742724754033,0.019115060538752005,0.9026770634543952,-0.971464991569519,1.493177890777588,-0.45028936862945557,-0.45367053151130676,0.0,0.41352251172065735,1.07931649684906,1.0,0.9140625,0.03259551525115967,0.02490311861038208
15,32,32,0.0,0.008954318182077259,0.03829999841400422,,,,,,,,,8.678333729505539,0.0,0.3355256818516288,,0.3858943306840956,-0.2500990894623101,0.3766381908208132,0.4264725688844919,0.2520794775336981,0.8434287626296282,0.0002473473804087689,0.006208951584994793,0.01721777766942978,0.009500000000000008,0.009025000000000007,0.045319056283915415,150.0,85.375,0.9795929118990898,1.215747606009245,0.7113213948905468,0.7023312244564295,-0.007656409034098033,-0.002012906368690892,0.0010516855709283845,0.4013883201405406,0.8308940343558788,0.4460234623402357,0.00042719503221633204,0.013391626969678327,0.025708524452056736,0.3056531865326666,,,,0.0040161051674658665,0.04405667493119836,0.10555415996350348,0.0008393477055506082,0.021044628228992224,0.8179588986193248,0.48560142517089844,0.7371996641159058,0.46487024426460266,0.4962003231048584,0.1337890625,0.8696703314781189,1.1364856958389282,1.0,0.9995659589767456,0.060464877635240555,0.038367435336112976
21,32,32,0.0,0.00153690594015643,0.04894519117078744,,,,,,,,,10.235848881304264,0.0,0.44796029124117526,,0.47619352396577597,-0.21457200217992067,0.3804322015494108,0.3735783868469298,0.1725341770797968,0.9128662124276161,-0.009445585341381957,0.0034553352743387222,0.011664507910609245,0.009025000000000007,0.008969926012478624,0.08081615425180644,150.0,101.0,0.964437011629343,1.2405743449926376,0.7657970916479826,0.6277484903112054,-0.006068276539735962,-0.0022067960835556732,0.0006695679937820387,0.44269942911341786,0.8971870448440313,0.5250863395631313,-0.0015193191253501936,0.011133345018606633,0.02190039266133681,0.305134398889996,,,,0.0048165912685362855,0.05378417973406613,0.1056978206615895,0.0016165201523108408,0.015832496661460027,0.7430508212535034,0.725145161151886,0.5470306277275085,0.592150866985321,0.6838909983634949,0.09375,0.7702059149742126,1.146478533744812,1.0,1.0,0.027244865894317627,0.03061448410153389
30,36,36,0.0,-0.008274564558329681,0.02398917773583283,,,,,,,,,7.295682423644596,0.0,0.5779810386161528,,0.31331442006760174,-0.18495971957842508,0.2978537293771903,0.4524696129891608,0.1744569076432122,0.8149010654952791,0.0012398749960185443,0.0068000733024544185,0.012773303522004021,0.008969926012478625,0.008521429711854692,0.04094916031075021,150.0,99.66666666666667,0.9859889497359594,1.3126213550567627,0.5778258583611913,0.7348325004180273,-0.005663785158604797,-0.0017367990157153043,0.0005572464745505891,0.43494319170713425,0.8404972404241562,0.4346602227952745,0.00041180131817479076,0.012781081902277138,0.024665522078673046,0.3026993400711156,,,,0.0038380309189152387,0.04536424970461263,0.10589204128417704,0.0026655129881368745,0.018639275648941595,0.6648265171818434,0.734753429889679,0.5254648923873901,0.5810838937759399,0.5837792158126831,0.103515625,0.5859966278076172,1.2150492668151855,1.0,0.9340277910232544,0.009437650442123413,0.023542901501059532
39,24,24,0.0,-0.004331936807526897,0.0219927041810782,,,,,,,,,6.011483232180278,0.0,0.6682191495904308,,0.15825966279953718,-0.2334614098072052,0.28578487411141396,0.2053761544326941,0.24756239851315817,0.854293259481589,0.0037067222389547774,0.01524479811390241,0.028331506997346878,0.00852142971185469,0.008169364002181783,0.0,150.0,48.833333333333336,0.9740765740474066,1.4512934635082881,0.4672513206799825,0.820640134314696,-0.005828191390416275,-0.0010983619916563232,-3.247038785048062e-05,0.5162609790762266,0.8645672922333082,0.5427981230119864,-0.0008051202557908255,0.012481434736400843,0.025532762442405026,0.2994273261100175,,,,0.005606198785850817,0.07012594398111105,0.10608935169875622,0.003729319723788649,0.013151375693269074,0.6153474006209447,0.8231659531593323,0.4604199230670929,0.7136183381080627,0.6622762680053711,0.1845703125,0.5478240847587585,1.308091163635254,1.0,0.9982638955116272,0.03374706953763962,0.05075926333665848
41,24,24,0.0,-0.0012548637187137501,0.016431419246752437,,,,,,,,,7.3811303079128265,0.0,0.7576169360715165,,0.48017092794179916,-0.19716925856967768,0.3646758732696374,0.5202666533490022,0.2679036433498065,0.9534505208333334,-0.0009870145167951705,0.005987834806243579,0.009005208810170492,0.008169364002181786,0.007760895802072693,0.08325113930429022,150.0,149.83333333333334,0.9269996335109075,1.1079904809594154,0.6062412870426973,0.302548589805762,-0.006801015212355803,-0.002426622258402252,0.0015572813763355953,0.38458193590243656,0.8548493434985479,0.4015839509665966,0.0005260138793801161,0.009512834813601026,0.01845032221172005,0.29686888260953515,,,,0.0032913515484930636,0.0319010418218871,0.10627315876384576,0.004718514101114124,0.016670628800056875,0.5698847520204287,0.7906031608581543,0.4725490212440491,0.23807738721370697,0.20385251939296722,0.12890625,0.5519190430641174,1.1823558807373047,1.0,0.979600727558136,0.023543551564216614,0.03625320643186569
48,24,24,0.0,-0.004623858762594561,0.08347128952542941,,,,,,,,,7.388248215119044,0.0,0.8501159947273887,,0.4138301722705364,-0.12787355855107307,0.34234656890233356,0.6111625010768572,0.07436851660410564,0.8770211314161619,-0.004870896877643342,-0.0007025909920533498,0.011721654484669367,0.007760895802072694,0.007372851011969058,0.26634436411162216,150.0,88.33333333333333,0.944609430929025,1.5030532677968342,0.7704859177271525,0.6869146699706713,-0.006324444878070305,-0.0018378175633794551,0.0005310200276653632,0.44858480369051296,0.877499724427859,0.5580510335663954,-0.001496413684435538,0.012381114337282876,0.025513381386796635,0.29784287798508685,,,,0.005966900144509661,0.07293653426071008,0.10646259815742572,0.00573624074847127,0.019268115594362218,0.526292101017022,0.7362998723983765,0.5750041007995605,0.6082037687301636,0.49429085850715637,0.0205078125,0.6382257342338562,1.3607901334762573,1.0,0.98046875,0.032223090529441833,0.028206918388605118
50,24,24,0.0,-0.006834341639963289,0.013778085180092603,,,,,,,,,6.060870379209518,0.0,0.9391253629662241,,0.27725461187462014,-0.23137454564372698,0.32743751133481663,0.3540531812856595,0.34254557142655057,0.9191406269868215,0.004677093054245536,0.007258083671331406,0.018629994243383408,0.007372851011969057,0.0071513296872082344,0.006530675319178651,150.0,124.66666666666667,0.9956333314379057,1.156461810072263,0.6377849206328392,0.5007811250785986,-0.007301140110939741,-0.0037380315237290538,-0.00043996743033858365,0.5586970001459122,0.804401862124602,0.40620454276601475,0.0031494476522008577,0.010845424490980804,0.02198045382586618,0.29868894037211374,,,,0.006327388662612066,0.08053385423651586,0.10667511510352294,0.006875788463124384,0.015739268235241372,0.4874089712181147,0.8422673344612122,0.5505807995796204,0.46070167422294617,0.4154203534126282,0.205078125,0.7050328850746155,1.346126914024353,1.0,1.0,0.021975696086883545,0.02862243354320526
56,32,32,0.0,0.0027059981657657772,0.02746639349788893,,,,,,,,,6.397690236568451,0.0,0.9951310316617954,,0.21395733067765832,-0.1772107225842774,0.23476163856685162,0.17780646623577923,0.27162798680365086,0.9355181530117989,0.003394163624761859,0.007895609363913536,0.014166111126542091,0.00715132968720824,0.006748991072359877,0.007421678164973855,150.0,89.125,0.9858922120183706,1.2178450226783752,0.6470443299040198,0.6600823467597365,-0.0066492906044004485,-0.0035451062394713517,-0.0006295464430081665,0.5686178579926491,0.8315211459994316,0.48628082498908043,0.001165168431271013,0.012385597539832816,0.023263481474714354,0.29882520474671787,,,,0.009690397338999901,0.11858771846164018,0.10692732781171799,0.008225211029639468,0.018240365316160023,0.44220637578683875,0.7257007360458374,0.5250441431999207,0.5045521855354309,0.5769098997116089,0.1806640625,0.6558985710144043,1.253928542137146,1.0,1.0,0.015548116527497768,0.021588128060102463
58,24,24,0.0,-0.0002770469873212278,0.019968293568429846,,,,,,,,,6.343784938255946,0.0,0.9941746480702646,,0.3481779806315899,-0.16870356785754362,0.2767244676748912,0.3055659830570221,0.3294270833333333,0.9678059940536817,-0.010118619170195112,0.002318579082687696,0.019268065690994263,0.006748991072359877,0.0064115415187418826,0.17477418451259533,150.0,112.33333333333333,0.9428980921705564,1.0407480572660763,0.6149050444364548,0.3429611424605052,-0.007944947923533618,-0.004683894008242835,-0.0026925865774198123,0.7036776045958201,0.8041951730847359,0.4538011612991492,0.0032157071254914626,0.012726584895669172,0.02443894437359025,0.2969714334466141,,,,0.005625608027912676,0.06614583367869879,0.10718187099943559,0.00958409532904625,0.016435862130795915,0.4095356063141508,0.8220914006233215,0.5529444217681885,0.3222842514514923,0.46199461817741394,0.28515625,0.7113211750984192,1.1749804019927979,1.0,0.9900173544883728,0.018358374014496803,0.01597716100513935
