episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,attn_entropy,critic_ev,critic_rmse_norm,critic_rmse_abs,returns_std,returns_mean,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
5,28,28,0.0,-0.0028490955675286905,0.03866997013600277,,,,,,,,,10.179110101291112,0.0,0.14891476713226745,,0.5442359287823949,-0.11481606933687415,0.23145330271550588,0.443344737802233,0.0925167373248509,0.8848350707973752,-0.015920549764164856,0.000758940087897437,0.008929321808474404,0.010000000000000009,0.009500000000000008,0.222041376467262,150.0,142.85714285714286,0.9898787822042193,1.183883739369256,0.8843083168779101,0.715399371193988,-0.00625939663898732,-0.0032340555813529397,-0.00044937096312683674,0.5476135196430343,0.9612103636775698,0.4917395753519876,0.0004954107137109531,0.011971621508044856,0.016130870773590038,0.3040209205300057,,,,0.003191840242444804,0.026501116209796498,0.1054234579205513,0.00013136995721652056,0.0071864648489281535,0.9591415743354518,0.8927811682224274,0.1604762077331543,0.924554705619812,0.31219956278800964,0.3376756012439728,-1.1834241151809692,0.2321605086326599,0.274025559425354,0.0302734375,0.8820547461509705,1.148089051246643,1.0,0.98828125,0.07580506801605225,0.02445385791361332
7,24,24,0.0,0.0011989126990859706,0.0052322611009003595,,,,,,,,,7.129675090312958,0.0,0.18890870469388596,,0.3560339075823625,-0.19395402011771998,0.3001093144218127,0.43221570178866386,0.2551106736063957,0.9475911483168602,-0.016884646475470316,0.006865272919336955,0.013841897249221802,0.009500000000000008,0.009025000000000007,0.09586484419802825,150.0,127.5,0.9963210672140121,0.998433880507946,0.7378448992967606,0.563233032822609,-0.006978805041095863,-0.0032895993693576506,-0.0007938054235031208,0.5567507483065128,0.9298833558956782,0.46172676359613735,0.0011118490585128409,0.009386562431852022,0.0172950002985696,0.30531467973471765,,,,0.0013158392015005422,0.006901041682188709,0.10547908768057823,0.00043283610163295333,0.010056874831207097,0.9269747430406573,0.8750723302364349,0.7686138153076172,0.5767726302146912,0.1313515603542328,0.22773543000221252,-1.006543517112732,0.4499175548553467,0.4818245470523834,0.072265625,0.822731614112854,1.0808604955673218,1.0,0.8337673544883728,0.02594965696334839,0.01411857083439827
15,32,32,0.0,-0.001798149649403058,0.025782569107832387,,,,,,,,,7.259574458003044,0.0,0.2443617295743101,,0.4297280553728342,-0.14374104072339833,0.2634061244316399,0.501693326048553,0.1373422034084797,0.870743615552783,-0.0007675765214116836,0.005817755591124296,0.009995711967349052,0.009025000000000007,0.008573750000000007,0.06757433235179633,150.0,118.125,0.9938590470701456,1.224751304835081,0.6972482483834028,0.7661286061629653,-0.00588112096011173,-0.002170433619085088,0.0006151816056672033,0.4277379419654608,0.9090754874050617,0.5102381035685539,-0.0016019438036209976,0.020667336299084127,0.027671659598127007,0.3054869062822835,,,,0.002488033765985165,0.019742640026379377,0.10555689921602607,0.0008541942206647946,0.006942073174286634,0.8841432461184199,0.77412348985672,0.4225996732711792,0.8014077544212341,0.36730197072029114,0.4583209455013275,-1.2336995601654053,0.42380115389823914,0.3922688663005829,0.091796875,0.754979133605957,1.1189062595367432,1.0,0.8433159589767456,0.025300871580839157,0.019606398418545723
22,32,32,0.0,-0.004496113862842321,0.016032390405598562,,,,,,,,,7.147852636873722,0.0,0.29566183920792705,,0.346408617682755,-0.15064420248381793,0.24409597041085362,0.32402285654097795,0.1351492702960968,0.8321707621216774,-0.016703928115020972,0.004295220132917166,0.011662950739264488,0.00857375000000001,0.008145062500000006,0.15331040567252785,150.0,107.375,0.9980702996253967,1.2457835860550404,0.6460049338638783,0.7527618426829576,-0.005975138818030246,-0.003171757678501308,-0.0003028313561799223,0.5338648660108447,0.8855800777673721,0.5015219869092107,0.00018471854400559096,0.014829094929154962,0.025305993331130594,0.30667706996829913,,,,0.002504025411326438,0.02607073134277016,0.10566228977404535,0.0014244350641092751,0.011655312002403662,0.8462726160462604,0.8108786344528198,0.7175242304801941,0.5398057103157043,0.287818968296051,0.5331899523735046,-1.2564407587051392,0.6478646397590637,0.662544310092926,0.0576171875,0.6788408160209656,1.1976288557052612,1.0,0.9526909589767456,0.03934338316321373,0.04377961903810501
26,28,28,0.0,-0.008986014872789383,0.009939094257008816,,,,,,,,,7.290317492825644,0.0,0.3392852231606352,,0.2999282849154302,-0.2235503095601286,0.3310274641428675,0.39212806629283087,0.20782179917607987,0.8661179329667773,-0.0058994835789495225,0.005610896540539605,0.01681456821305411,0.008145062500000001,0.007737809375000006,0.07693592871406249,150.0,110.57142857142857,0.9632697637592044,1.1531185082026891,0.6051712376730782,0.5289201363921165,-0.006105953079116132,-0.003943073904208306,-0.001201662080477815,0.5810409699167524,0.8576609854187284,0.41620049465979847,0.0015628769776542737,0.01447277729000364,0.02222488261759281,0.30396216951680094,,,,0.004980895680741274,0.06062438013032079,0.10577436430113656,0.002030200682513948,0.010339595211137618,0.8153375585237586,0.8471100032329559,0.8698568940162659,0.36249569058418274,0.1840468943119049,0.5077216029167175,-1.168513298034668,0.5120528340339661,0.5791805386543274,0.0556640625,0.6163454651832581,1.155035376548767,1.0,1.0,0.04367680847644806,0.0546354204416275
30,28,28,0.0,-0.012752768783164876,0.010748883093973356,,,,,,,,,7.231505649430411,0.0,0.3833079897161208,,0.3237211565886225,-0.17361708783677646,0.2691892018275602,0.3526206538081169,0.20602733109678542,0.8883107943194253,-0.003766364543740305,0.005897348480565208,0.012648871966770716,0.0077378093750000085,0.007350918906250005,0.07986723079479166,150.0,117.71428571428571,0.9577550568750927,1.1201592981815338,0.5673441567591259,0.554645666054317,-0.006086729200822967,-0.003870791115332395,-0.0007285948956580666,0.5495622860533851,0.8573424198797771,0.495823618556772,0.0004935846165088671,0.010820825368032925,0.017833707055875232,0.30262856171103314,,,,0.004115821926721505,0.04426809852676732,0.10588648250060421,0.0026355899587672737,0.012116212830213564,0.7852542363928164,0.8673518300056458,0.8803997039794922,0.3525093197822571,0.1742263287305832,0.4942460060119629,-1.1143239736557007,0.4835837185382843,0.49052661657333374,0.0927734375,0.5903910994529724,1.1394811868667603,1.0,0.9969618320465088,0.018487565219402313,0.03145505487918854
34,28,28,0.0,-0.0033114175499317105,0.016428773865170245,,,,,,,,,6.984321083341326,0.0,0.4293069277699318,,0.23733171235237802,-0.253458776644298,0.3653577193617821,0.3688518793455192,0.23857161402702332,0.912749069077628,0.0016990808653645217,0.007666798574583871,0.015559978783130646,0.007350918906250004,0.006601532513725838,0.01117291723910187,150.0,107.28571428571429,0.9246943720749446,1.1146609016827174,0.47980209972177235,0.590535295861108,-0.005584908117141042,-0.0024528367212042212,0.0006617023635076943,0.44814519371305195,0.8120738523347037,0.46267469759498325,-0.00015054209104294256,0.01512037038004824,0.023782693448343446,0.3009364303958542,,,,0.0038141803337826525,0.041566855141094754,0.10601573144750935,0.003332657689627792,0.013445578715098756,0.7549920643608073,0.8754633963108063,0.82369065284729,0.4229664206504822,0.2135888636112213,0.5049782991409302,-1.1244175434112549,0.5003055930137634,0.5475925803184509,0.138671875,0.546647310256958,1.0653403997421265,1.0,0.9943576455116272,0.0204751156270504,0.024370994418859482
42,32,32,0.0,-0.002600303734652698,0.023682517290581018,,,,,,,,,7.078051298856735,0.0,0.48378589526805416,,0.2313161389902234,-0.21593124233186245,0.32772068679332733,0.35277258045971394,0.2612164355814457,0.879445044323802,0.00037116049617225144,0.0071110050193965435,0.017831082455813885,0.006601532513725835,0.005468553112831185,0.04988285605213605,150.0,92.25,0.9393283147364855,1.2800823152065277,0.45046732667833567,0.7249908577650785,-0.004521781789662782,-0.0018029296816166607,0.0002758305405450301,0.46346493251621723,0.7811219003051519,0.4545300155878067,3.4480955264371005e-06,0.025004634109791368,0.032758746703621,0.29783720949291587,,,,0.0049155758642882574,0.05792867724085227,0.10617302707396448,0.004179853851383086,0.013390910055022687,0.7206361584565856,0.8008546531200409,0.8101425766944885,0.44067636132240295,0.26889514923095703,0.6101873517036438,-1.290778636932373,0.6510660648345947,0.6426064968109131,0.1806640625,0.49807363748550415,1.1717560291290283,1.0,0.991319477558136,0.02750219590961933,0.04385266825556755
46,28,28,0.0,-0.0028795679099857807,0.03208972184386637,,,,,,,,,7.132213379655566,0.0,0.5314709872285266,,0.4447387754917145,-0.14120061642357282,0.31011508085897993,0.5727919116616249,0.1635419683797019,0.9193353376218251,-0.0213277345257146,-0.0001394051526274,0.00791767771754946,0.005468553112831185,0.005195125457189625,0.23676023046885217,150.0,122.71428571428571,0.8335181943007878,1.134489927973066,0.5416088615145002,0.5305177665182522,-0.0069214374858087725,-0.0032275167177431285,-0.00014524063564229955,0.5077867486647197,0.7540650878633771,0.46205488805259975,0.0003203799486592678,0.014332637789526157,0.02343755747590746,0.2972955160305418,,,,0.004340471225857202,0.04799707167382751,0.10634526716811317,0.005106126906217209,0.013282728747331671,0.6918309709189362,0.8535923957824707,0.6388083696365356,0.6046777367591858,0.29796409606933594,0.4927650988101959,-1.1264569759368896,0.34129786491394043,0.38837945461273193,0.0537109375,0.47598597407341003,1.0296753644943237,1.0,0.85546875,0.010800456628203392,0.037344083189964294
53,32,32,0.0,-0.007305674778763205,0.018281609562109224,,,,,,,,,6.016419306397438,0.0,0.5867284878086979,,0.2663104720413685,-0.2193152387626469,0.38933982141315937,0.5798593005165458,0.20953994430601597,0.9151700660586357,-0.0005597249969468976,0.004979257937520742,0.018263534642755985,0.005195125457189624,0.004463951108010918,0.07475258409976959,150.0,99.75,0.9336417745798826,1.362211238592863,0.5676755933091044,0.7439811434596777,-0.00681841722689569,-0.00287625441342243,-6.418378421813031e-05,0.5151538038626313,0.7814282905310392,0.4813294280320406,0.0006044024739821907,0.021069514274131507,0.03330069326329976,0.29608862077011644,,,,0.006336852811728022,0.08064738952089101,0.10653150011785328,0.006105972686782479,0.019188629114069045,0.6598644515244342,0.8233692646026611,0.7941550016403198,0.45396554470062256,0.26147907972335815,0.5759888291358948,-1.3710269927978516,0.6441805958747864,0.6359907388687134,0.1552734375,0.6548665761947632,1.3700039386749268,1.0,0.999131977558136,0.01861942559480667,0.02924404665827751
