episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,attn_entropy,critic_ev,critic_rmse_norm,critic_rmse_abs,returns_std,returns_mean,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
5,28,28,0.0,-0.0049658967182040215,0.04423273986737643,,,,,,,,,5.954394093581608,0.0,0.14783153021626863,,0.5723861562354224,-0.1236405832959073,0.2931035767708506,0.6353655819381986,0.11392328994614738,0.8781397002083915,-0.015012613131797739,0.0006483473948069981,0.007600177611623492,0.010000000000000009,0.009500000000000008,0.24078182131052017,150.0,131.28571428571428,0.9497205764055252,1.3850629542555128,0.0,0.9577396405594689,-0.004331830215440797,-0.0026922819670289755,-0.0014967266470193863,0.7328169026545116,0.8476838852678027,0.5146800396697861,0.0007613034688672217,0.017078585590102842,0.022613002586045435,0.29255182321870965,,,,0.005060816715870585,0.05928229394235781,0.10542474421007293,0.0001383364507481539,0.01281730767472514,0.9600281123842824,0.9987290501594543,0.8527524471282959,0.3963956832885742,0.31615883111953735,0.7975839376449585,-1.4673309326171875,0.965897262096405,0.9984728097915649,0.0712890625,0.0,1.4990668296813965,1.0,1.0,0.9920254349708557,3.1426846981048584
8,24,24,0.0,-0.005809262065061678,0.04730111391594013,,,,,,,,,5.8434180816014605,0.0,0.19010288209293458,,0.38550756747523945,-0.1802510917186737,0.27169323277970153,0.27146203567584354,0.31401327252388,0.9355858787894249,0.0006873554557387251,0.0069806501269340515,0.013971025745073954,0.009500000000000008,0.008818967895545742,0.02005881565855816,150.0,125.16666666666667,0.9094702353080114,0.8068135852615038,0.0,0.9571300894021988,-0.00469571949603657,-0.0022146476743121943,-0.000594734725723356,0.5763025656342506,0.7211086104313532,0.4111403226852417,0.00182162440129711,0.01471394149120897,0.022831863646085065,0.2542807422607201,,,,0.0058513711458848166,0.0744528011418879,0.10547958003977935,0.0004354942684585694,0.013752166996710002,0.926030976435449,0.9990920722484589,0.8321975469589233,0.41189756989479065,0.29698702692985535,0.7210215330123901,-0.8924404382705688,0.9709362387657166,0.9946199655532837,0.189453125,0.0,1.2672497034072876,1.0,1.0,0.9796327352523804,2.6497457027435303
10,24,24,0.0,-0.0007494736152390639,0.04453124695767959,,,,,,,,,7.60916210214297,0.0,0.23009034570250328,,0.27946616398791474,-0.20980036444962025,0.32321688532829285,0.5790174218515555,0.2104817678531011,0.9557291666666666,-0.015505431219935417,0.007492288947105408,0.012458651016155878,0.00881896789554574,0.008378019500768455,0.11861766378084819,150.0,133.5,0.8139315322041512,0.757548506061236,0.0,0.9171342601378759,-0.00385255598424313,-0.0008111015279913166,0.0013779080254607834,0.3519599375625451,0.6804965709646543,0.40821221098303795,0.0007391801686935651,0.012495621107518673,0.02263026296471556,0.22894418172854578,,,,0.006482714602801328,0.0780924481805414,0.10553980059921741,0.0007616368360080136,0.014578352527072033,0.8949745787254538,0.9990126490592957,0.7709547281265259,0.47881022095680237,0.28894519805908203,0.6034649610519409,-0.8200442790985107,0.9302374720573425,0.9777286648750305,0.1513671875,0.0,0.9785253405570984,1.0,1.0,0.9566649198532104,2.043400287628174
17,32,32,0.0,-0.0013351048692129552,0.0198233482951764,,,,,,,,,7.9678855910897255,0.0,0.28297723967578686,,0.5459545981138945,-0.13755164318718016,0.2276004538871348,0.20930701028555632,0.13871292397379875,0.9041812848299742,0.001452690946052826,0.0046930694952607155,0.007424967363476753,0.008378019500768448,0.007616776236482169,0.030640677170595154,150.0,120.75,0.8342546485364437,1.0196154490113258,0.0,0.9513218384236097,-0.002878061368392082,-0.0006386866425600601,0.0009638788151278277,0.3685597041621804,0.7605283036828041,0.43303890991955996,-0.0013925129578638007,0.016835629765409976,0.02325864532031119,0.21241621457669382,,,,0.006589705571968807,0.08032550662755966,0.10562179517000914,0.0012053865957568632,0.020226813037879765,0.8554840842168537,0.9990873038768768,0.9334686994552612,0.26845428347587585,0.20546433329582214,0.7653605937957764,-1.0362720489501953,0.9486271142959595,0.9720286726951599,0.0634765625,0.0,0.9788222312927246,1.0,1.0,0.9611947536468506,2.045597553253174
21,28,28,0.0,-0.007639196102640459,0.03353909509522574,,,,,,,,,7.48968357699258,0.0,0.3311000879739588,,0.5390199071594647,-0.16906828912241118,0.36176593069519314,0.41215098968573977,0.09126138474260058,0.9113244605915887,-0.007594673028506804,0.002061269645180021,0.006728595920971462,0.007616776236482167,0.007235937424658061,0.06864848360419273,150.0,138.42857142857142,0.8793571633952004,1.0600623956748418,0.0,0.9425894511597497,-0.002854876423953101,-0.0005471009875951235,0.0011649805622125445,0.3256086680505957,0.7422129660844803,0.39696076938084196,-0.0003169137050430696,0.013107924655612026,0.020759956112929752,0.19709529891317573,,,,0.009841756026227293,0.1376685381068715,0.10572344117930957,0.0017550250423872577,0.018281686319304363,0.8210553361607975,0.9990568161010742,0.8511701822280884,0.3934052586555481,0.25797849893569946,0.6557576060295105,-1.0717366933822632,0.9132245779037476,0.935173749923706,0.015625,0.0,0.9436048865318298,1.0,1.0,0.9612716436386108,1.9663488864898682
26,28,28,0.0,-0.0036719732119568755,0.03151712939143181,,,,,,,,,8.144255706242152,0.0,0.3793419909131022,,0.16074445550995214,-0.19494767753141268,0.2756003700196743,0.2797815299459866,0.21638934739998408,0.8970403458390918,0.0033570595384974566,0.008857208703245436,0.016521718885217394,0.007235937424658058,0.006993753780200237,0.0,150.0,112.71428571428571,0.7839930014950889,0.9255890803677695,0.0,0.9408112679209027,-0.0027036541224723415,-0.0007304077423343967,0.0009991459420624388,0.3714862359421594,0.6536512204578945,0.40483828846897396,-0.00023558753166850823,0.0162252223651324,0.023232055894498314,0.18324853543479025,,,,0.0076659124128387445,0.10318506376019546,0.1058382588837828,0.0023752773995511234,0.019644007153276886,0.7879188335098243,0.999013751745224,0.9142485857009888,0.29534873366355896,0.22529980540275574,0.7628263831138611,-0.9633126258850098,0.9464887976646423,0.9678423404693604,0.10546875,0.0,0.9587612152099609,1.0,1.0,0.9461653232574463,1.9971425533294678
29,28,28,0.0,0.015456114197149873,0.03745645856750863,,,,,,,,,8.718732501779284,0.0,0.4227370857632041,,0.2473543073449816,-0.20873336493968964,0.35032694946442333,0.45920227627669064,0.25085629735674175,0.918695160320827,0.00012480386755799242,0.006716009761605944,0.015924728342464993,0.006993753780200236,0.006644066091190225,0.06392926895724875,150.0,120.85714285714286,0.7874942272901535,0.787642532161304,0.0,0.9281981608697346,-0.0024236581479531844,0.00016730970966299146,0.0024582964106230065,0.23768573573657445,0.6179499998688698,0.3970815603222166,-0.00023987215198368567,0.014655217827696885,0.025112340160246407,0.15915245720166302,,,,0.010827097626003836,0.12173837742635182,0.10596488336367267,0.003058538364712149,0.01943831381920193,0.759242758564464,0.9990310370922089,0.8989514112472534,0.32098665833473206,0.21504858136177063,0.6699610948562622,-0.8550670146942139,0.9172674417495728,0.951819896697998,0.091796875,0.0,0.8752831816673279,1.0,1.0,0.9496406316757202,1.8207812309265137
31,24,24,0.0,-0.011012641596607864,0.031215904823814828,,,,,,,,,7.00229408343633,0.0,0.4626471729124331,,0.3750990418096383,-0.18049844478567442,0.35221799090504646,0.5844086905320486,0.21669921775658926,0.9478515634934107,-0.00970521578953291,0.001127675175666809,0.011645284791787466,0.006644066091190225,0.006311862786630713,0.21771809769173464,150.0,157.5,0.7754711384574572,0.7023129686713219,0.0,0.9300931493441263,-0.001677211689335915,0.0009406547566565374,0.003397717955522239,0.16875344390670458,0.6202889333168665,0.356933182105422,-0.001146821995876716,0.008670996311896792,0.016481518706617255,0.148905792320236,,,,0.008774363547369527,0.1122721357581516,0.10608334311594565,0.003696988414352139,0.024671084946021438,0.7337799547615339,0.9992143213748932,0.8795000314712524,0.3856255114078522,0.2046602964401245,0.5307229161262512,-0.76740562915802,0.9336424469947815,0.9567574858665466,0.1005859375,0.0,0.8216476440429688,1.0,1.0,0.9630725383758545,1.7151427268981934
35,28,28,0.0,-0.0005106741695531777,0.029740895743348768,,,,,,,,,7.341707374368395,0.0,0.510567740126083,,0.27335560587900026,-0.16457140711801393,0.28757306773747715,0.6279680558613369,0.22891689836978912,0.9446005714791161,0.00021782024597476784,0.00625205785036087,0.01388288289308548,0.006311862786630709,0.005810671823715572,0.05045826220884919,150.0,124.71428571428571,0.7674464923994881,0.8435828174863543,0.0,0.9420895512614932,-0.0022756396709675236,-0.00017534552125653136,0.001668252189119812,0.2861498700720923,0.663234104003225,0.43575483560562134,-0.0006758027175237658,0.014818070023985845,0.02477830821382148,0.13990611847413265,,,,0.007421140126617891,0.09693137822406632,0.10621911739664418,0.004427883873826691,0.03310105098145349,0.7043158950840506,0.9981611371040344,0.9068275690078735,0.3123030662536621,0.22655095160007477,0.7254201769828796,-0.92645263671875,0.9338979125022888,0.9615222811698914,0.138671875,0.0,0.9084402918815613,1.0,1.0,0.9282922148704529,1.8864997625350952
37,24,24,0.0,0.0016662763276447852,0.028217470583816368,,,,,,,,,9.123503118753433,0.0,0.5504305382021749,,0.4301191916068395,-0.20632604447503886,0.385615948587656,0.3801111926635106,0.3070638005932172,0.9443033883968989,0.0005422851809271378,0.003266599029302597,0.011435221880674362,0.005810671823715574,0.0051917864167799746,0.025312402518466115,150.0,132.33333333333334,0.8151029770572981,0.6706069385011991,0.0,0.9551342229048411,-0.0050294189907920854,-0.00011347993752982195,0.0021475258933302635,0.2588198985904455,0.6162713120381037,0.327516907826066,0.0009927678917544351,0.0098979133569325,0.01871685970885058,0.11934770380043984,,,,0.012044414363723869,0.16142578174670538,0.10636222859223683,0.0051973034666540725,0.030727362570663292,0.6806951792464454,0.9987199604511261,0.9054622650146484,0.31223955750465393,0.18089286983013153,0.5793400406837463,-0.7148958444595337,0.9439206719398499,0.976466953754425,0.138671875,0.0,0.8158804178237915,1.0,1.0,0.9599429368972778,1.6974914073944092
