episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,critic_ev,critic_rmse_norm,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
2,24,24,0.0,0.0009005286410683766,0.020761332746284705,,,,,,,,,7.0824833909670515,0.0,0.1899917960600304,,0.5195014514029026,-0.21727372519671917,0.38936787843704224,0.6704705928762754,0.17060546825329462,0.9244140659769376,-0.014452475976819793,0.0028288674851258597,0.009163696318864822,0.010000000000000009,0.009500000000000008,0.18288318067789078,150.0,144.0,0.9077065487702688,0.993297278881073,0.9081898604830106,0.6591218408818046,-0.006886230141390115,-0.0026644703199660094,0.0013857602922750327,0.40938712283968925,0.9924327060580254,0.5253782918055853,-0.002030862437095493,0.006186260511943449,0.01257020840421319,0.3031471708978877,,,,0.0038977730873739347,0.03899739593422661,0.10542702457557122,0.00015071727546001057,0.007515555538702756,0.9261187281287931,-0.002855539321899414,1.007478952407837,-0.00163868663366884,-0.011400504969060421,0.0517578125,0.974742591381073,0.9931364059448242,1.0,0.7625868320465088,0.001847528386861086,0.0008635686244815588
5,28,28,0.0,-0.009126967251566904,0.055795872184847085,,,,,,,,,7.867725917271206,0.0,0.2886327142295568,,0.7097870686224529,-0.14792950052235807,0.34688322778259006,0.8063243882996696,0.014216933931623186,0.9136342384985515,-0.016247714503801296,0.0006232112646102905,0.00502275994845799,0.009500000000000008,0.009025000000000007,0.23878006424222672,150.0,150.71428571428572,0.849533274769783,1.037377221243722,0.8430996984243393,0.5869530481951577,-0.005780591363353389,-0.0027702391879366977,0.0008077443947383602,0.4443844790969576,0.9634235330990383,0.5283636195319039,-0.0024171823170036077,0.007902093082001167,0.01715970944081034,0.30602272748720116,,,,0.007348788490552189,0.09585885597126824,0.10550492336707455,0.0005727543653587677,0.0128446340427867,0.851364899189715,0.20158648490905762,0.9798943400382996,0.2559269368648529,0.23773369193077087,0.0,0.8478407859802246,0.9818218350410461,1.0,0.5277777910232544,0.0001552432804601267,0.001574027817696333
8,28,28,0.0,0.005876480867820126,0.03925090782078249,,,,,,,,,7.1705610411507745,0.0,0.38826526331494965,,0.28767998090812136,-0.21629201195069722,0.3244859629443714,0.5922889454024178,0.2436011838061469,0.9305617617709296,-0.014542021046509035,0.007694590836763382,0.017881506255694797,0.009025000000000007,0.008573750000000007,0.1246569042227098,150.0,102.42857142857143,0.9115234336682728,1.015559862766947,0.7890611312219075,0.6027963853308133,-0.0060698843694158965,-0.0028862289514758493,3.218756644076036e-05,0.49745638349226545,0.9312252742903573,0.4885902479290962,-0.0012604729611211951,0.00965843304792153,0.017694813199341297,0.3074760325649621,,,,0.0031104884630102398,0.03134300632934485,0.10561293097479003,0.0011574100187447453,0.010281583460580026,0.7819361583938341,0.5213695764541626,0.6937822699546814,0.4701217710971832,0.41445809602737427,0.1484375,0.8329647779464722,1.036863923072815,1.0,0.9943576455116272,0.02696598879992962,0.011318804696202278
11,28,28,0.0,0.023328656995935098,0.03513409862560885,,,,,,,,,8.544637373515538,0.0,0.48617505851985865,,0.4217731175678117,-0.20784293381231173,0.3327058819787843,0.5246248197342668,0.1575794368982315,0.9486278912850789,-0.01737429336312094,0.0025571994483470917,0.014346584677696228,0.008573750000000012,0.008145062500000006,0.17560768446752004,150.0,126.85714285714286,0.9037793150969914,1.017097185764994,0.7395097123725074,0.6903487018176487,-0.0057728115602263385,-0.0027369551335141296,0.00043044267996655047,0.4763060196169785,0.936186454125813,0.5186726094356605,-0.0016174422650822504,0.01078721955751202,0.018926798266225626,0.30813462537250824,,,,0.0030239580020341755,0.03364627103188208,0.10574651376477309,0.0018797184540224926,0.01181699724734894,0.7191652658005326,0.6532117128372192,0.6107438206672668,0.5882304310798645,0.5162518620491028,0.0751953125,0.7561424970626831,0.9667768478393555,1.0,0.9587673544883728,0.03904472663998604,0.014029193669557571
13,24,24,0.0,-0.010458634079744419,0.01069702643629474,,,,,,,,,6.29819588859876,0.0,0.5758648645940121,,0.4031740228335063,-0.18998431911071142,0.3124577725927035,0.4666014400621255,0.24716796974341074,0.9449869816501936,-0.0208049223292619,0.002087597424785296,0.01254231110215187,0.008145062500000003,0.007737809375000006,0.19592692144215107,150.0,123.5,0.947005512813727,0.9657221933205923,0.6875697895884514,0.4388449564576149,-0.007128681696485728,-0.003449217367839689,-0.0011995789306335307,0.6045793344577154,0.9059792558352152,0.4972612224519253,-0.00010011830246033544,0.008184003682496646,0.01650366299630453,0.3068235670779428,,,,0.007044665622136866,0.09687500012417634,0.1058950253451864,0.002681667344101394,0.012358168450494608,0.6660324212775953,0.6709948778152466,0.5795938372612,0.247560515999794,0.444288432598114,0.1923828125,0.7388825416564941,0.9713613390922546,1.0,0.9635416865348816,0.023424236103892326,0.013334274291992188
16,28,28,0.0,-0.012856252192120467,0.024177752069330642,,,,,,,,,6.223568405423846,0.0,0.6726307956512961,,0.29842619970440865,-0.17945720947214536,0.2779872475990227,0.31515240176979986,0.31545758673122953,0.9381417397941861,0.002702240763028385,0.006996847689151764,0.015643268823623657,0.0077378093750000085,0.007837672730168709,0.016490436009397463,150.0,113.71428571428571,0.9615828671625682,0.9243482968636921,0.6209935737507684,0.7384182597909655,-0.004964976047631353,-0.00158482846122102,0.0011345834492593504,0.40238683032138006,0.8499386651175362,0.4167901716594185,0.000438935783222405,0.009725118920739208,0.017577920075772063,0.30431898414558173,,,,0.00462508482451085,0.059040178677865436,0.10607750793652874,0.0036655035468616654,0.01137838261534593,0.6130231167908172,0.6772010922431946,0.5693912506103516,0.5985280275344849,0.5706291794776917,0.2431640625,0.6522765159606934,0.96212238073349,1.0,1.0,0.02299078181385994,0.01415948010981083
18,24,24,0.0,-0.010251615623322627,0.008174734878897047,,,,,,,,,7.254793584346771,0.0,0.7620203079222124,,0.49266235406200093,-0.15616275866826376,0.3360234337548415,0.3932912002007167,0.22216796626647314,0.9548828154802322,-0.0019098713964922354,0.0012783811738093693,0.008554632465044657,0.007837672730168712,0.007445789093660273,0.1705616687734922,150.0,143.66666666666666,0.9637084876497587,0.9766678363084793,0.6247785836458206,0.42896992278595764,-0.006730874612306555,-0.0020479007119623325,0.0011111103825290531,0.43350838621457416,0.8707240199049314,0.4549982510507107,-0.00034329248940897134,0.011212262713039914,0.022156936737398308,0.3032836968875418,,,,0.010470697515605329,0.13961588591337204,0.10626788840939601,0.004690173023846,0.012301497083778182,0.5677321892358603,0.7115480899810791,0.538247287273407,0.27094972133636475,0.31959256529808044,0.1171875,0.6079623699188232,0.9603444933891296,1.0,1.0,0.03708631545305252,0.021688126027584076
20,24,24,0.0,-0.003718271075437466,0.009261377815467617,,,,,,,,,6.171102344989777,0.0,0.8512299102407929,,0.4694635793566704,-0.21292305054763952,0.3846314127246539,0.46440290411313373,0.20869140575329462,0.9533528685569763,-0.00016288023440817292,0.002836844573418299,0.00830103705326716,0.007445789093660274,0.007073499638977259,0.06513837647313873,150.0,146.83333333333334,0.841193916896979,0.9096963827808698,0.6126308018962542,0.6282393783330917,-0.006537937287551661,-0.0026972581351098293,0.002615446016231241,0.3426462138692538,0.842274102071921,0.43571723252534866,-0.0009624052286956916,0.01158265924702088,0.021035913455610473,0.301411889734619,,,,0.00865945864158372,0.10944010472546022,0.10644818531970184,0.005658890838579585,0.01146426253641645,0.5257874130128907,0.7380154728889465,0.5214628577232361,0.4816358685493469,0.37519213557243347,0.115234375,0.586419403553009,0.8644383549690247,1.0,0.8363715410232544,0.00986567698419094,0.015864716842770576
22,24,24,0.0,-0.0023957547188426056,0.01352943800156936,,,,,,,,,7.606808145840962,0.0,0.9402366004374724,,0.35500721633434296,-0.19137245727082094,0.3159305527806282,0.5751628205180168,0.24775390326976776,0.9566731775800387,-0.018415312554376822,0.0016529044757286708,0.009843166917562485,0.007073499638977261,0.006719824657028395,0.2195424623787403,150.0,144.83333333333334,0.9219222292304039,0.9741187120477358,0.6342466672261556,0.49648026128609973,-0.006142840875933568,-0.002762993872844769,0.0002668504421308171,0.4784247539937496,0.838449793557326,0.4480391629040241,-0.00020898370106200068,0.013263720087707043,0.024411740557601053,0.3003599749188539,,,,0.015194744725401202,0.18203125117967525,0.10663281070689361,0.006649165453078846,0.015652887057513,0.48694157020562673,0.8149622678756714,0.4479823708534241,0.3507623076438904,0.30204036831855774,0.2119140625,0.6246619820594788,1.017737627029419,1.0,1.0,0.03150678426027298,0.0215945802628994
24,24,24,0.0,-5.648463654021422e-05,0.007992061194575703,,,,,,,,,7.4036931792895,0.0,0.9953617879823223,,0.4558761616547902,-0.18862489114205042,0.34546909481287,0.33101938540736836,0.0532552053531011,0.9290039092302322,-0.014044954402682682,0.003177658965190252,0.007332942138115565,0.006719824657028392,0.006383833424176975,0.11059294920414686,150.0,170.83333333333334,0.8390567948420843,1.0203977152705193,0.6850956355532011,0.45255035658677417,-0.007542826778565844,-0.0033417610684409738,0.0012187992072843674,0.4377034939825535,0.8546341260274252,0.4791141947110494,-0.0005759638049956569,0.014250770055999359,0.026150964976598818,0.3004216195452853,,,,0.00845084074899205,0.11145833383003871,0.10683206127335627,0.0077159598004072905,0.015674573834985495,0.450965707671873,0.7965929508209229,0.46390050649642944,0.29988712072372437,0.22095738351345062,0.00390625,0.6359228491783142,0.9836660623550415,1.0,0.9921875,0.02131558768451214,0.014220685698091984
