episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,attn_entropy,critic_ev,critic_rmse_norm,critic_rmse_abs,returns_std,returns_mean,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
9,24,24,0.0,-0.00014208805320474008,0.06323174895563473,,,,,,,,,7.208035270373027,0.0,0.19061665436041328,,0.321573951592048,-0.2019339402516683,0.355111042658488,0.546608954668045,0.1663622036576271,0.8341988399624825,-0.002430602915410418,0.00498707282046477,0.018020831048488617,0.010000000000000009,0.009500000000000008,0.11782579496502876,150.0,63.0,0.990601509809494,1.4247686664263408,0.9237733657161394,0.7508685955156883,-0.00669621800382932,-0.0019368500943528488,0.001464946594448217,0.35006022950013477,0.9201557710766792,0.5447620575626692,-0.003308722380703936,0.013627622354154786,0.02831405253770451,0.30453314976099577,,,,0.0028641671960940585,0.02557444863487035,0.10542724560946226,0.0001519059051891721,0.005054025697366645,0.9256252329968505,nan,-0.2333822250366211,1.2885723114013672,0.5702800154685974,0.4425673186779022,-1.4451944828033447,-0.2942780554294586,-0.23758961260318756,0.1357421875,0.7841275930404663,1.1600345373153687,1.0,0.8580729365348816,0.03806192800402641,0.013664555735886097
17,32,32,0.0,-0.004688759214332094,0.021459084658999927,,,,,,,,,6.676615513861179,0.0,0.31411067203086757,,0.19008769979700446,-0.30952377896755934,0.3827617047354579,0.43692693300545216,0.24708878435194492,0.868228729814291,0.0018568213145044865,0.014645917806774378,0.02779482025653124,0.009500000000000008,0.008766833804964028,0.02989783784141764,150.0,75.75,0.9985649865120649,1.3731269873678684,0.6841048058122396,0.7416220214217901,-0.007240936261950992,-0.004127471467654686,-0.0006459722665113077,0.580072408542037,0.8511269632726908,0.5094765312969685,0.0003798396269303339,0.014690895943203941,0.029991813469678164,0.3058184535628311,,,,0.0031592353889209335,0.024909602012485266,0.10551504325121641,0.0006275397927311133,0.0034460237620805856,0.8330504365286193,nan,0.6734699010848999,0.5736464262008667,0.2970702052116394,0.5178629159927368,-1.3816367387771606,0.7043442130088806,0.7258113622665405,0.2041015625,0.8744341135025024,1.3636285066604614,1.0,0.6349826455116272,0.009911911562085152,0.01408570259809494
20,28,28,0.0,-0.008288264573950852,0.027919609714964672,,,,,,,,,9.029931613377162,0.0,0.41191102085421955,,0.37630726849394186,-0.18855119948940618,0.3370691356914384,0.594255651214293,0.15808611895356858,0.9442594285522189,-0.017220491202481623,0.003547350210802896,0.013535015285015106,0.008766833804964022,0.008328492114715825,0.17626368839825904,150.0,133.28571428571428,0.955880173615047,1.2016233567680632,0.6804749465414456,0.4527722682271685,-0.005551820812148175,-0.003162127507883789,-0.0007231705172411498,0.5466573323522296,0.8678982342992511,0.4733020216226578,0.00031756451634074826,0.010701898884560381,0.0220530690691833,0.30631366516374625,,,,0.0029046877337220523,0.01915322563477925,0.10563793326062816,0.0012926997068072005,0.004428217886015773,0.7662988047332403,nan,0.7898035645484924,0.4587985575199127,0.20049995183944702,0.43701085448265076,-1.1955286264419556,0.30356499552726746,0.38374102115631104,0.076171875,0.7083277106285095,1.1940431594848633,1.0,0.9583333134651184,0.018160412088036537,0.01646258309483528
27,32,32,0.0,-0.005351832107407972,0.022390464087948203,,,,,,,,,6.626535385847092,0.0,0.5355193796807783,,0.46214709989726543,-0.17668804666027427,0.29257913678884506,0.3864492131397128,0.12308713793754578,0.8870210517197847,-0.0063248194596781104,0.005361391231417656,0.010411066934466362,0.00832849211471582,0.007912067508980034,0.09572162490803748,150.0,111.5,0.9896943066269159,1.342130146920681,0.7116096317768097,0.6912879105657339,-0.005986107396893203,-0.002720687691180501,-0.0002282372419979417,0.533837997354567,0.8762811161577702,0.49525557551532984,0.0004347167213722969,0.010867778823012486,0.022668955265544355,0.307870132581659,,,,0.0033102475317718927,0.029605566058307886,0.10579476645216346,0.0021403681712399703,0.007771946431603283,0.6894382436399792,nan,0.7379227876663208,0.5191230177879333,0.2645111382007599,0.5095345973968506,-1.3309351205825806,0.5401698350906372,0.5689492225646973,0.0732421875,0.7650149464607239,1.2740246057510376,1.0,0.881944477558136,0.014328309334814548,0.016733907163143158
32,28,28,0.0,-0.0056753560285350045,0.01821686911197113,,,,,,,,,6.066908376557486,0.0,0.6412440605601756,,0.46314747844423565,-0.15492250504238264,0.268967471484627,0.3211762479373387,0.1619767120906285,0.9305690548249653,-0.004011021138077402,0.004138866705553872,0.010099331183092934,0.007912067508980039,0.0073397105811729025,0.06429725220160824,150.0,125.14285714285714,0.9735599607229233,1.2450232250349862,0.7531185214008603,0.6605480004634176,-0.006249867279880813,-0.003526405514484005,-0.0011189393078114205,0.6340400331786701,0.9166607580014637,0.445635940347399,0.0010488334577790478,0.009545269921155912,0.019338489144242237,0.3093430268094647,,,,0.005204623215831816,0.06223553239500949,0.10599050936954361,0.0031966357408756657,0.0063868319682244745,0.629747811143805,nan,0.6146906018257141,0.6246561408042908,0.28026285767555237,0.44866743683815,-1.2511298656463623,0.43605828285217285,0.4425410032272339,0.0859375,0.7287218570709229,1.3198970556259155,1.0,0.9535590410232544,0.0253581665456295,0.028140386566519737
37,28,28,0.0,-0.0063269288844562,0.022314281019914364,,,,,,,,,4.665491597993033,0.0,0.7522826926018217,,0.2567147436950888,-0.19791636296680995,0.26215767541102003,0.3760664335318974,0.23208306091172354,0.9340034276247025,-0.011554728145711124,0.006958881659167153,0.022579101579529897,0.007339710581172907,0.006972725052114257,0.16641883685120515,150.0,106.42857142857143,0.9669617244175502,1.166040620633534,0.6612454620855195,0.6776396057435444,-0.00839114308889423,-0.004602344706654549,-0.0012412957876222208,0.607782570379121,0.8950875188623156,0.49516984607492176,0.0010113280438547787,0.010022632228875799,0.019807299366220832,0.31014653308142487,,,,0.0033928227452893873,0.02995234588161111,0.10620161997420448,0.00433365539980254,0.004904360194424433,0.5725030144912074,nan,0.7213412523269653,0.5287014245986938,0.2573296129703522,0.48672008514404297,-1.1612545251846313,0.5579159259796143,0.6029098629951477,0.1728515625,0.749454140663147,1.1788536310195923,1.0,0.5455729365348816,-0.0014439825899899006,0.005015958100557327
39,24,24,0.0,-0.004566038764702777,0.02036614392030363,,,,,,,,,6.32143450776736,0.0,0.8415130287107675,,0.3641858920454979,-0.1878579743206501,0.3636837030450503,0.5084412768483162,0.2347330724199613,0.9427408849199613,-0.001910213604181384,0.0033637372155984244,0.011122097571690878,0.006972725052114261,0.006624088799508544,0.14036730832109848,150.0,143.66666666666666,0.9180270433425903,1.1000450477004051,0.6523700952529907,0.4632189671198527,-0.007477448515904446,-0.0029551168505956107,-0.00030573109582595254,0.5187057678898176,0.8382555941740671,0.47732623169819516,0.000638721172890655,0.012461518325532476,0.021931407895560067,0.31061223178960506,,,,0.004419368434658584,0.04225260438397527,0.10641817065576713,0.005497738233922671,0.008823154280738285,0.5302057636304974,nan,0.7761469483375549,0.5042840838432312,0.1853318214416504,0.3675146996974945,-1.0922577381134033,0.3498852252960205,0.39431437849998474,0.1328125,0.6990573406219482,1.1551051139831543,1.0,0.8849826455116272,0.014355572871863842,0.01076414156705141
45,32,32,0.0,0.0009200430649798363,0.03000891036936082,,,,,,,,,6.2714637368917465,0.0,0.9593690041219034,,0.463608262129128,-0.15778241120278835,0.30578299798071384,0.38359418138861656,0.06293414905667305,0.8593484591692686,-0.010175186761898658,0.0019009276293218136,0.007470462471246719,0.006624088799508544,0.006292884359533116,0.1361056233290583,150.0,132.875,0.9117899984121323,1.2666036263108253,0.7052397802472115,0.6281814305111766,-0.0064776756771607324,-0.002706240298721241,0.00040291754314125683,0.45579887833446264,0.8383944164961576,0.49979162216186523,-0.0006488897100282998,0.01381352631142363,0.025285410345532,0.31302560097893833,,,,0.003207023717550328,0.030853005999233574,0.10666769952513278,0.006836005632067099,0.008864641553373076,0.4789618536545,nan,0.5731918811798096,0.6817468404769897,0.3048231601715088,0.4471207559108734,-1.2593681812286377,0.38493725657463074,0.3714672923088074,0.0224609375,0.6721652746200562,1.1568984985351562,1.0,0.62890625,0.005478488281369209,0.006144730374217033
52,32,32,0.0,-0.004692197515396401,0.030325826854095794,,,,,,,,,7.126278288662434,0.0,0.9948895147354124,,0.2787155038677156,-0.2270357641391456,0.32143079955130816,0.3126474847085774,0.22993581369519234,0.8385813608765602,-0.011443104303907603,0.005039865151047707,0.017633366398513317,0.006292884359533117,0.00597824014155646,0.14833180559799075,150.0,81.5,0.9246720857918262,1.2317649945616722,0.6678802818059921,0.7619583774358034,-0.0077287074527703226,-0.0032805141927383374,-0.0007647476090824057,0.5811497336253524,0.8436047211289406,0.5126904072239995,-7.081270160824715e-05,0.016704056615708396,0.028096699505113065,0.31411452853570915,,,,0.005324816114807618,0.06507240841165185,0.10694972681812942,0.00834498273616191,0.011376622307579964,0.43343232380812496,nan,0.8400586843490601,0.4030698537826538,0.22060218453407288,0.5473051071166992,-1.2361875772476196,0.6968631744384766,0.7506861090660095,0.1357421875,0.6589266657829285,1.2071157693862915,1.0,1.0,0.038716599345207214,0.046014875173568726
55,24,24,0.0,-0.007694349818242093,0.014411797717912123,,,,,,,,,6.088274518648784,0.0,0.9938555026251249,,0.2550407039622466,-0.1917501694212357,0.32101986805597943,0.3729599503179391,0.27139273037513095,0.9215535918871561,8.931868175447259e-05,0.005955578138430913,0.01619622732202212,0.005978240141556458,0.0056793281344786365,0.04202384843180577,150.0,132.16666666666666,0.9005720466375351,1.1024032831192017,0.6650426760315895,0.5190273933112621,-0.007337846405183275,-0.004085532680619508,-0.0005711798532956891,0.5509175298114618,0.8431209847331047,0.4493155765036742,0.0007996412465824202,0.01940571633167565,0.03133672475814819,0.3137383466443193,,,,0.007879083956747005,0.10722218686714768,0.10717313177883625,0.009537507003794113,0.010596635576803237,0.3997444174488393,nan,0.8173595666885376,0.4388059377670288,0.1966482698917389,0.4481440484523773,-1.1153537034988403,0.4088660776615143,0.5167955160140991,0.146484375,0.7147449254989624,1.1667869091033936,1.0,0.9986979365348816,0.024231497198343277,0.015188135206699371
