episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,critic_ev,critic_rmse_norm,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
3,24,24,1.0011717677116394e-08,-0.008609989211739352,260.02091852823895,1.1118154674768448,0.1864816602319479,0.24716078055401644,0.57778183867534,0.179635023077329,0.00014908612701466004,0.020125825714785606,0.7909012461702029,5.963108668724696,0.0,0.19530304171209037,,0.5102310453852018,-0.17825358795622984,0.3099777375658353,0.416039618353049,0.179635023077329,0.889865001042684,-0.00900957295865131,0.004213479037086169,0.00925185407201449,0.010000000000000009,0.009500000000000008,0.10274268314242363,150.0,140.66666666666666,,,,,,,,,,,,,,,0.005972661427222192,1.3429599752028782,0.927265095214049,0.005377374846527043,0.06611859530676156,0.10542764111111562,0.00015403461990596648,0.005611618825544913,0.9219323918681847,-0.00017702579498291016,1.067821741104126,-0.4168667495250702,-0.36891618371009827,0.076171875,-0.31736886501312256,-0.047236036509275436,0.353515625,0.7196180820465088,0.026115162298083305,0.016348235309123993
6,24,24,3.259629011154175e-09,-0.0033885605710869036,193.74617640177408,0.9148908481001854,0.17920643960436186,0.2289184139420589,0.5720531841119131,0.09532451132933299,-4.102692063649253e-05,0.019196986046154052,0.5865121347208818,6.830532004435857,0.0,0.2898192943337427,,0.5877998645106951,-0.15196587331593037,0.32925695056716603,0.511210652689139,0.09532451132933299,0.9227195357282957,-0.0073197705011504395,0.002156269426147143,0.007821551213661829,0.009500000000000008,0.009025000000000007,0.1907021813094616,150.0,160.5,,,,,,,,,,,,,,,0.004280716074087347,1.2679459353288014,0.8192853679259618,0.003952518207370304,0.04278154058071474,0.10550003002087276,0.000546243084196855,0.006595248531084508,0.8505031489860332,0.11615884304046631,1.023680567741394,0.31549951434135437,0.39478230476379395,0.0,-4.191958904266357,-2.4122159481048584,0.11835937947034836,0.5355902910232544,-0.0028666744474321604,0.029564347118139267
15,36,36,4.6566128730773926e-09,-0.0017739243598447905,202.8388214111328,0.9624709884325663,0.17674197753270468,0.24524434241983625,0.6934740924172931,0.17212817900710636,0.001259482379989802,0.04979661050149136,0.5799944781594806,7.903088675604926,0.0,0.41914702632334905,,0.46508612400955623,-0.18583933553761905,0.32118382304906845,0.3571573562092251,0.17212817900710636,0.8620515068372091,0.0010776172257465078,0.004761501318878598,0.013106130063533783,0.009025000000000007,0.007834531242795977,0.02683330681692395,150.0,93.44444444444444,,,,,,,,,,,,,,,0.00388705740786261,1.3170204361279805,0.7024951510959201,0.004718170177915858,0.060040509845647544,0.10562642767197555,0.0012304192092010959,0.007759160258703762,0.7615754976879711,0.1546241044998169,0.9204691052436829,0.32706326246261597,0.4916740655899048,0.0986328125,-5.7596893310546875,-3.762695789337158,0.18085937201976776,0.2621527910232544,-0.02980699948966503,0.13957346975803375
25,24,24,3.725290298461914e-09,-0.0010321069275960326,194.35928599039713,0.9145269294579824,0.11209657633056243,0.2638419183592002,0.8172165925304095,9.934107462565104e-09,0.0023871316273774332,0.07538300056088094,0.3454352505505085,6.6892215212186175,0.0,0.51066465722365,,0.7382585853338242,-0.04361344034744737,0.318734052280585,0.49888211488723755,9.934107462565104e-09,0.765857016046842,-0.017000842102182407,-0.005834211905797322,0.00020551433165868124,0.007834531242795982,0.007442804680656177,0.49753570308287937,150.0,93.5,,,,,,,,,,,,,,,0.0034402023593429476,1.3898063451051712,0.8959550360838572,0.004317271491648474,0.04739444788234929,0.1057742511232694,0.0020295772458969927,0.006127568311057985,0.7042575012550363,0.3917008638381958,0.8503265380859375,0.5570757389068604,0.5103044509887695,0.0,-7.954910755157471,1.8748775720596313,0.680468738079071,0.2877604067325592,-0.04083003103733063,0.5220276713371277
31,32,32,3.026798367500305e-09,-0.019453963148407638,170.03735208511353,0.8350056577473879,0.08141621458344162,0.30864896811544895,0.6256315819919109,0.0,0.0005456199096443015,0.04134294285904616,0.41902967635542154,7.9782659858465195,0.0,0.6236469969561825,,0.5757232625037432,-0.12393272295594215,0.32690293807536364,0.5716127716004848,0.0,0.8917660936713219,-0.011988226458925055,-0.00030732806771993637,0.004770120605826378,0.007442804680656174,0.007070664446623368,0.27949744928628206,150.0,138.875,,,,,,,,,,,,,,,0.00304143967514392,1.471344519406557,0.7624239213764668,0.0028222217861184618,0.024705969844944775,0.10594061249867082,0.0029275846827658825,0.006644928398600314,0.6393189722008364,0.4767857789993286,0.7343106269836426,0.40172162652015686,0.2948218584060669,0.0,-9.373533248901367,-1.1280230283737183,0.4261718690395355,0.3077256977558136,-0.01996198482811451,0.5829390287399292
38,32,32,4.889443516731262e-09,-0.0068480381451081485,155.16112399101257,0.8401204030960798,0.09203751874156296,0.33934301044791937,0.6136858789250255,0.1985796745866537,0.0007448315884630574,0.03990378927846905,0.5007701832801104,7.2160461992025375,0.0,0.7402473156702353,,0.30376242753118277,-0.2349955216050148,0.39767247531563044,0.5716748796403408,0.1985796745866537,0.8615105133503675,-0.0001716363217383332,0.006004652474075556,0.01767361257225275,0.007070664446623362,0.006717131224292199,0.07346251123817638,150.0,106.25,,,,,,,,,,,,,,,0.0022621401767537463,1.5814029797911644,0.8236507829278708,0.0034792284277500585,0.03151855489704758,0.10615433496423066,0.0040791716673993506,0.008037239822442643,0.5784535870446991,0.6159474849700928,0.635798454284668,0.3553512692451477,0.375419944524765,0.107421875,-12.551275253295898,-1.9509197473526,0.4222656190395355,0.193142369389534,-0.03264212608337402,0.6047013998031616
41,24,24,1.862645149230957e-09,-0.003685272104727725,142.85052235921225,0.38453226412336033,0.06944766702751319,0.129766300941507,0.5815779194235802,0.06037194778521856,4.534714742021606e-05,0.02125491324113682,0.29891835898160934,7.009599755207698,0.15509365685284138,0.8345178735210061,,0.5480785705149174,-0.13135572088261446,0.28052725705007714,0.4480754608909289,0.06037194778521856,0.9183388551076254,-0.014765283558517694,-0.001099027693271637,0.005436473836501439,0.006717131224292201,0.006381274663077589,0.29359847741822404,150.0,175.0,,,,,,,,,,,,,,,0.0012179502906898658,1.1434586519996326,0.13650011876598,0.004769974048637475,0.05376901850104332,0.10637536210318406,0.005267790712726613,0.008327400719281286,0.5334088109644349,0.4262641668319702,0.7602182030677795,0.4058055877685547,0.402380108833313,0.021484375,-19.041183471679688,-12.33118724822998,0.177734375,0.02690972201526165,-0.03373176231980324,1.0116727352142334
50,24,24,4.6566128730773926e-09,-0.003953611458806942,95.31216621398926,0.6066095978021622,0.10044250311329961,0.10442827704052131,0.802259606619676,0.09624975423018138,0.0021262217584686973,0.06838354332527767,0.2769254396359126,7.678416450818379,0.049136491725221276,0.9267759188124874,,0.4114462261398633,-0.2061346359550953,0.4547477786739667,0.5325858940680822,0.09624975423018138,0.7229111442963282,-0.0020314529386572153,0.0023732936630646386,0.009245707343022028,0.006381274663077586,0.0060622109299237085,0.16100461517150202,150.0,77.0,,,,,,,,,,,,,,,0.0014048773906930971,0.5897465720772743,0.044210870284587145,0.004103940506562746,0.047541396537174783,0.10657909543563922,0.006361185320808242,0.009823485161177814,0.4926326002535592,0.7363736629486084,0.52531898021698,0.3210773766040802,0.20394651591777802,0.046875,-23.758838653564453,0.7381588220596313,0.590624988079071,0.0,-0.037227731198072433,1.2188777923583984
55,28,28,5.587935447692871e-09,0.004974309687635728,153.60119901384627,0.3836268846477781,0.0840341274493507,0.08367349021136761,0.6343453398772648,0.25610055880887167,0.0005662448764139429,0.038987454193245084,0.2980183448110308,6.206250590937478,0.060362128141735284,0.9953642656352076,,0.17093269926096713,-0.2271523608693055,0.3079752506954329,0.21785058826208115,0.25610055880887167,0.8521607347897121,0.003416845209098288,0.01000955221908433,0.020389531339917864,0.006062210929923707,0.005961033200776352,0.002922176948881575,150.0,103.71428571428571,,,,,,,,,,,,,,,0.0009066566271940246,0.2553082954670702,0.05082112963178328,0.003969121100713632,0.03762957773038319,0.10680237518889564,0.0075570768344083005,0.007028081470967403,0.45106186485863725,0.6847506761550903,0.56560879945755,0.42170435190200806,0.5024958252906799,0.1923828125,-28.935298919677734,-9.001607894897461,0.400390625,0.1059027761220932,-0.038408324122428894,1.413942813873291
57,24,24,4.889443516731262e-09,-0.00384524982352256,196.26145871480307,0.3464951018492381,0.06753497803583741,0.06720356301714976,0.5152477187414964,0.3370117172598839,-0.0006894264552101959,0.005229563200070213,0.32663029183944065,7.748871008555095,0.04977119776109854,0.994429858893135,,0.32326213891307515,-0.21689506992697716,0.3935169093310833,0.435527549435695,0.3370117172598839,0.9434895863135656,-0.000999825189258748,0.0027928265432516732,0.01857134948174159,0.005961033200776354,0.005662981540737535,0.10462425509467721,150.0,127.83333333333333,,,,,,,,,,,,,,,0.0014050921769618678,0.0994361334790786,0.05989750443647305,0.003629560077873369,0.04169921879656613,0.1070095282047987,0.008664474046478668,0.006039919157046825,0.41773684059028304,0.5066889524459839,0.7376653552055359,0.41190192103385925,0.36592382192611694,0.21484375,-34.96634292602539,-15.72881031036377,0.24492187798023224,0.0,-0.03565544635057449,1.895982265472412
