episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,start_battery,min_battery,idle_mAh,motion_mAh,path_m,turn_integral,net_displacement_m
1,720,0.520084845323387,-29.593016286048613,72.97923046277305,-77.95757719447371,16.765660774151968,,55.38926606497262,55.10719516297104,0.5656747486791573,54.54152041429188,0.0,42.25026221790175,14.143581931550706,39.4988734425603,0.520084845323387,11582.399999999969,6013.459965779863,8010.327378576431,1198.8914210322425,417.6899420937031
2,720,12.615646306260855,12.866670030615547,84.86099625938637,-45.12000554267544,18.087626998945733,-1.1481900215148926,60.31504502199823,59.827721893030684,0.45592103444505483,59.37180085858563,0.1955715729855001,42.25282772853444,16.544552797774234,35.17564907759857,10.70785433538586,11582.399999999969,5856.345363160193,7980.970891911453,1273.9436399672106,494.8151414167213
3,720,46.563240530344814,103.90940039631535,102.49604579421849,22.976887271142346,15.015735984199123,,58.17640829703305,57.85194242699072,0.45815650455188006,57.39378592243884,0.0,42.26364687937695,20.46312707904682,35.07479689477364,22.516990290067586,11582.399999999969,4147.6280195213485,6020.059611737413,1238.5571222555097,375.6835442241583
4,720,47.74352078057872,97.20249164666878,104.37561289327614,15.687226328657786,15.866302834302601,-1.389811635017395,53.20338401000481,52.71085071697598,0.45780537818791345,52.25304533878807,0.20746154699008912,42.263829262219616,20.18367693210514,39.89990761624983,27.251139916416335,11582.399999999969,4224.239334937541,6187.853891242575,1204.2519858320377,72.88248042905741
5,720,36.099557964276805,65.1465702172666,92.11416401372094,-5.129350727177808,14.969393308948334,,56.684310250973795,56.35627462697448,0.4574464847682975,55.898828142206185,0.0,42.26366287421459,18.12512309725723,38.66423332786572,13.620809522135724,11582.399999999969,4423.511568629036,6188.691168346731,1201.3728371399832,318.5529547087406
6,720,0.3420993038974139,-30.992709349806724,66.90819178929527,-76.8980844794481,13.191163283452374,-1.5112513303756714,55.975012751994655,55.46727251401171,0.45774502790300176,55.00952748610871,0.1825836540083401,42.24125361133501,13.043891307685064,38.79114154362147,0.3420993038974139,11582.399999999969,4736.362821996203,6369.657398522477,1321.9787008571839,129.25434165284898
7,720,15.150627778146033,28.062327011645365,81.803850372851,-31.670773961592598,14.745509510788978,,54.68865335499868,54.418093940999825,0.4562724367133342,53.96182150428649,0.0,42.263407713861426,16.15499700780536,30.986014758942314,2.280413752117027,11582.399999999969,4995.020234625292,6696.399258055893,1249.0788763765102,409.62353858071157
8,710,0.0,-27.48259157836899,66.60557717274659,-74.29686414421501,12.848596546666116,-1.5714573860168457,55.7107329290011,55.203516768990085,0.4504925052751787,54.753024263714906,0.21661330095957965,42.247617227621625,13.128761368005687,37.14843207210752,0.0,11421.533333333307,4712.496931472636,6315.459792285462,1244.8650860424048,366.2910042825114
9,720,33.441126684012886,59.8520361296738,88.63368807508803,-8.111637279163816,14.319310898502417,,53.62571388098877,53.27949876803905,0.4553252652985975,52.82417350274045,0.0,42.26245652092129,18.00582424037596,37.496945323594794,19.931458336622875,11582.399999999969,4178.054583762236,5979.355148831181,1270.9252405734971,210.62702139531754
10,720,9.128334413988844,7.100946038504959,74.20836430875028,-48.458903149020514,12.754738931753458,-1.6196216344833374,55.63871475995984,55.11293654097244,0.4577094546984881,54.65522708627395,0.2115730220102705,42.26372664155557,14.766378418330826,33.3577859884991,9.128334413988844,11582.399999999969,4363.517504436854,5972.84469320438,1207.41261730453,249.03007978051846
11,720,25.14574864513027,37.582431183087884,86.15721201381737,-27.71233674838193,14.216214620180642,,53.16669083095621,52.89003951702034,0.45610828313510865,52.43393123388523,0.0,42.25406602907596,16.42957123781325,39.00191701932123,25.14574864513027,11582.399999999969,4319.617768513994,6046.437420976699,1201.1819904056583,480.27750674155163
12,720,26.40045025722056,54.53891649125305,86.6783215832541,-11.17979826470258,14.55005850011374,-1.4243221282958984,54.50345711002592,53.99613052397035,0.4562928233644925,53.53983770060586,0.21412250300636515,42.263790070513835,17.082312983064444,31.990349389571826,8.045386576704452,11582.399999999969,4270.2939459624895,5828.966370275508,1165.9608637277713,100.17636006109561
