episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,0.0,0.0005747021059505641,16.513581534226734,,,,,,,,,,,,0.00644948506669607,0.08085937559371814,0.1750920539100965,0.003354036423843354,0.016093909080761176,0.969765359108249
4,24,24,0.0,-0.0022249789520477257,14.237445453802744,,,,,,,,,,,,0.0076854572592613595,0.09781901041666667,0.17776883393526077,0.010097673764297118,0.015027042555933198,0.9404448517263514
6,24,24,0.0,-0.004890148721945782,13.269907355308533,,,,,,,,,,,,0.005158654528107339,0.05872395859720806,0.18065979207555452,0.017268036530974012,0.01536136205929021,0.9120108393559102
8,24,24,0.0,-0.005162473496360083,15.974415282408396,,,,,,,,,,,,0.010570782197949788,0.13525390656044087,0.18354067392647266,0.02430301431256036,0.02405821702753504,0.8844365191385997
10,24,24,0.0,-0.005723496355737249,11.651410818099976,,,,,,,,,,,,0.014122872952915108,0.16067708376795053,0.18643184937536716,0.03125433810055256,0.03248633731467029,0.8576958985908939
12,24,24,0.0,0.0023080724058672786,14.218726019064585,,,,,,,,,,,,0.018742380363012973,0.21344401190678278,0.1895420098056396,0.03861556543658177,0.030333263721937936,0.8317637711026707
14,24,24,0.0,0.004623653405966858,11.928361078103384,,,,,,,,,,,,0.009630506678756015,0.12018229191501935,0.1927254404872656,0.04603171534836292,0.028637852054089308,0.8066156921766136
16,24,24,0.0,-0.005326863727532327,11.177349090576172,,,,,,,,,,,,0.008204320266183155,0.09925130226959784,0.19603365225096545,0.053614689192424216,0.028151389677077532,0.7822279563860023
18,24,24,0.0,-0.007766320214917262,16.814170281092327,,,,,,,,,,,,0.012452208844479173,0.15511067708333334,0.19928176887333393,0.06094318442046642,0.03035627119243145,0.7585775750291838
20,24,24,0.0,-0.0016676781718463947,14.483772814273834,,,,,,,,,,,,0.010852084627307098,0.12945963566501936,0.2025409129758676,0.06818313399950664,0.038325698425372444,0.7356422544596414
